gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 20 346
YAL068W-A 9 59
PAU8 4 10
YAL067W-A 10 40
SEO1 55 1150
YAL066W 15 717
YAL065C 7 552
YAL064W-B 12 200
TDA8 7 44
YAL064W 15 169
YAL063C-A 19 134
FLO9 57 925
GDH3 68 2007
BDH2 66 2404
BDH1 40 631
YAL059C-A 13 53
ECM1 21 203
CNE1 57 2149
YAL056C-A 11 117
GPB2 100 4361
PEX22 12 26
ACS1 62 1205
FLC2 34 594
OAF1 67 1288
AIM2 20 197
GEM1 33 537
YAL047W-A 22 414
SPC72 4 4
AIM1 16 415
YAL045C 6 12
YAL044W-A 11 30
GCV3 1 0
PTA1 9 51
YAL042C-A 31 933
ERV46 129 4822
CDC24 9 148
CLN3 22 219
CYC3 13 49
CDC19 3 2
YAL037C-B 1 0
YAL037C-A 10 156
YAL037W 46 2595
RBG1 56 2282
FUN12 3 47
YAL034C-B 45 1810
MTW1 12 65
FUN19 47 912
POP5 1 0
PRP45 41 711
YAL031W-A 13 233
GIP4 67 1739
SNC1 27 629
MYO4 155 4175
FRT2 72 1906
SAW1 61 1577
YAL026C-A 27 149
DRS2 17 86
MAK16 2 3
LTE1 104 1768
PMT2 105 3536
FUN26 201 7355
CCR4 29 449
ATS1 110 3372
YAL019W-A 115 4550
FUN30 69 1753
LDS1 84 1586
PSK1 186 7150
YAL016C-B 28 518
YAL016C-A 9 143
TPD3 5 10
NTG1 134 5823
SYN8 64 1983
DEP1 52 700
CYS3 3 7
SWC3 78 1674
MDM10 9 86
SPO7 29 542
FUN14 78 2521
ERP2 80 4673
SSA1 134 3964
YAL004W 25 547
EFB1 1 0
VPS8 160 5247
TFC3 12 305
NUP60 332 15762
ERP1 132 3904
SWD1 133 2812
RFA1 5 17
SEN34 7 41
BUD14 197 6789
ADE1 4 8
KIN3 67 1429
CDC15 33 584
YAR019W-A 69 2227
PAU7 15 225
YAR023C 73 3635
UIP3 35 1065
YAR028W 40 1951
YAR029W 6 23
YAR030C 13 540
PRM9 40 1166
MST28 45 2142
YAT1 408 15093
YAR035C-A 18 166
SWH1 134 3224
YAR047C 0 0
FLO1 91 1677
YAR053W 5 57
YAR060C 0 0
YAR064W 4 13
YAR066W 0 0
YAR068W 0 0
YAR069C 1 0
YAR070C 0 0
PHO11 0 0
IMD1 1 0
YAR075W 1 0
YBL113C 8 7
YBL113W-A 2 1
YBL112C 1 0
YBL111C 14 14
YBL109W 21 317
PAU9 1 0
YBL108W 12 305
YBL107W-A 2 1
MIX23 7 55
SRO77 44 897
PKC1 7 23
SEA4 43 1384
RTG3 10 94
SFT2 7 45
ECM21 50 1420
YBL100W-C 4 11
YBL100C 0 0
ATP1 0 0
BNA4 30 833
BRN1 4 4
YBL096C 13 205
YBL095W 11 98
YBL094C 5 17
ROX3 2 3
RPL32 1 0
SCS22 9 56
MAP2 19 375
MRP21 3 2
AVT5 28 616
TEL1 57 1549
RPL23A 14 199
YBL086C 19 225
BOI1 42 1006
CDC27 8 77
YBL083C 5 24
ALG3 15 122
YBL081W 5 10
PET112 3 3
NUP170 35 437
ATG8 0 0
YBL077W 14 311
ILS1 2 1
SSA3 81 2365
AAR2 28 599
YBL073W 30 1241
RPS8A 0 0
YBL071C-B 1 0
KTI11 1 0
YBL071C 7 46
YBL070C 5 18
AST1 16 84
YBL068W-A 0 0
PRS4 5 168
UBP13 30 558
SEF1 24 247
YBL065W 15 184
PRX1 12 217
KIP1 52 1613
YBL062W 11 75
SKT5 34 907
YEL1 40 550
CMC2 0 0
YBL059W 13 177
SHP1 18 135
PTH2 16 417
PTC3 23 596
YBL055C 42 1173
TOD6 54 1903
YBL053W 6 120
SAS3 56 1460
PIN4 4 22
SEC17 1 0
MOH1 7 12
RRT1 7 27
EDE1 42 943
PSY4 33 625
COR1 1 0
YBL044W 37 1537
ECM13 32 590
FUI1 63 1318
PRE7 0 0
ERD2 8 18
YBL039W-B 4 9
URA7 54 1754
YBL039C-A 1 0
MRPL16 1 0
APL3 60 1258
YBL036C 17 542
POL12 7 49
STU1 7 16
RIB1 4 6
HEK2 26 675
SHE1 31 1129
PET9 0 0
YBL029C-A 16 75
YBL029W 71 1569
YBL028C 20 560
RPL19B 9 89
LSM2 0 0
RRN10 2 1
NCL1 77 2029
MCM2 6 15
PIM1 1 0
HAP3 4 28
RFT1 7 237
APN2 111 4868
POP8 11 101
PEP1 127 4191
FUS3 147 7156
ACH1 68 2736
RRN6 26 561
FMT1 53 964
YBL012C 42 936
SCT1 155 5650
YBL010C 58 1962
ALK2 163 8194
YBL008W-A 32 308
HIR1 56 1209
SLA1 79 1350
LDB7 97 3107
YBL006W-A 47 1219
PDR3 290 10841
UTP20 8 181
HTA2 75 2168
HTB2 126 8651
ECM15 77 4753
NTH2 425 25691
RER2 34 2651
COQ1 22 138
GPI18 3 2
RCR1 161 10444
UGA2 284 13706
DSF2 425 21934
FLR1 326 13706
HHF1 12 103
HHT1 31 1446
IPP1 5 36
YBR012C 0 0
YBR013C 0 0
GRX7 40 622
MNN2 60 1757
YBR016W 63 1699
KAP104 16 425
GAL7 1 0
GAL10 88 2411
GAL1 74 3019
FUR4 103 2618
POA1 51 1621
CHS3 59 748
SCO2 40 384
OLA1 32 518
ETR1 3 3
YBR027C 36 414
YPK3 47 892
CDS1 7 25
RKM3 55 1092
RPL4A 6 10
YBR032W 36 942
EDS1 148 5115
HMT1 14 132
PDX3 11 192
CSG2 0 0
SCO1 0 0
CHS2 4 3
ATP3 2 2
FIG1 10 83
FAT1 4 4
CST26 39 900
QDR3 39 781
TCM62 31 494
GIP1 45 1156
ZTA1 25 550
FMP23 14 205
RPS11B 6 46
REB1 4 9
REG2 25 555
YBR051W 11 150
RFS1 15 50
YBR053C 17 128
YRO2 31 1156
PRP6 15 249
YBR056W 17 100
YBR056W-A 6 137
YBR056C-B 5 136
MUM2 19 702
UBP14 1 0
TSC3 0 0
AKL1 30 417
ORC2 2 1
TRM7 10 268
YBR062C 3 15
YBR063C 14 197
YBR064W 3 6
ECM2 26 494
NRG2 28 235
TIP1 1 0
BAP2 21 360
TAT1 20 592
ALG14 1 0
YBR071W 15 642
HSP26 11 55
YBR072C-A 9 223
RDH54 39 572
PFF1 48 1229
ECM8 11 36
YBR076C-A 6 10
SLM4 7 65
ECM33 0 0
RPG1 11 172
SEC18 2 1
SPT7 17 209
UBC4 3 12
TEC1 24 317
MIS1 21 477
RPL19A 7 14
AAC3 13 415
YBR085C-A 2 5
IST2 15 42
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 11 202
YBR090C 22 253
TIM12 0 0
PHO3 11 108
PHO5 12 112
PBY1 21 328
RXT2 7 22
YBR096W 6 30
VPS15 5 16
MMS4 24 335
YBR099C 9 107
FES1 1 0
EXO84 12 55
SIF2 8 113
YBR103C-A 12 252
YMC2 24 178
VID24 2 1
PHO88 1 0
IML3 2 5
AIM3 18 133
CMD1 0 0
YBR109W-A 4 14
ALG1 0 0
YSA1 5 15
SUS1 1 0
CYC8 3 33
YBR113W 2 1
RAD16 25 242
LYS2 20 89
YBR116C 17 217
TKL2 29 973
TEF2 1 0
MUD1 11 97
CBP6 0 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 1
TFC1 2 1
YBR124W 7 48
PTC4 7 34
TPS1 5 10
YBR126W-A 9 102
YBR126W-B 6 105
VMA2 3 5
ATG14 10 43
OPY1 7 127
SHE3 4 22
CCZ1 1 0
YBR131C-A 0 0
AGP2 18 304
HSL7 2 1
YBR134W 13 304
CKS1 1 0
MEC1 4 4
