gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 14 368
YAL068W-A 9 64
PAU8 1 0
YAL067W-A 2 1
SEO1 14 120
YAL066W 5 42
YAL065C 2 1
YAL064W-B 5 251
TDA8 2 1
YAL064W 1 0
YAL063C-A 2 4
FLO9 19 1102
GDH3 48 3367
BDH2 15 307
BDH1 19 473
YAL059C-A 5 7
ECM1 5 7
CNE1 17 530
YAL056C-A 1 0
GPB2 31 2683
PEX22 8 191
ACS1 19 447
FLC2 10 144
OAF1 16 317
AIM2 4 52
GEM1 13 241
YAL047W-A 9 289
SPC72 8 901
AIM1 1 0
YAL045C 7 63
YAL044W-A 7 62
GCV3 5 16
PTA1 6 10
YAL042C-A 6 134
ERV46 18 462
CDC24 3 6
CLN3 5 12
CYC3 38 1030
CDC19 0 0
YAL037C-B 0 0
YAL037C-A 2 1
YAL037W 8 36
RBG1 10 852
FUN12 3 4
YAL034C-B 17 892
MTW1 3 4
FUN19 5 8
POP5 0 0
PRP45 12 364
YAL031W-A 7 21
GIP4 12 142
SNC1 7 233
MYO4 29 1601
FRT2 7 536
SAW1 8 70
YAL026C-A 6 92
DRS2 12 98
MAK16 0 0
LTE1 18 474
PMT2 10 17
FUN26 24 842
CCR4 17 144
ATS1 9 387
YAL019W-A 11 477
FUN30 19 765
LDS1 5 7
PSK1 22 691
YAL016C-B 3 13
YAL016C-A 5 33
TPD3 4 4
NTG1 6 16
SYN8 12 147
DEP1 9 25
CYS3 2 2
SWC3 18 676
MDM10 6 68
SPO7 3 4
FUN14 12 929
ERP2 8 249
SSA1 19 315
YAL004W 4 32
EFB1 1 0
VPS8 55 4309
TFC3 5 16
NUP60 15 175
ERP1 13 195
SWD1 8 64
RFA1 0 0
SEN34 0 0
BUD14 14 246
ADE1 6 32
KIN3 5 33
CDC15 1 0
YAR019W-A 15 208
PAU7 2 1
YAR023C 11 1381
UIP3 3 2
YAR028W 7 49
YAR029W 0 0
YAR030C 2 4
PRM9 8 32
MST28 8 62
YAT1 81 4737
YAR035C-A 5 6
SWH1 13 281
YAR047C 0 0
FLO1 22 726
YAR053W 0 0
YAR060C 1 0
YAR064W 0 0
YAR066W 0 0
YAR068W 0 0
YAR069C 1 0
YAR070C 1 0
PHO11 3 3
IMD1 2 3
YAR075W 0 0
YBL113C 7 18
YBL113W-A 0 0
YBL112C 0 0
YBL111C 10 10
YBL109W 13 428
PAU9 0 0
YBL108W 3 3
YBL107W-A 0 0
MIX23 8 82
SRO77 16 209
PKC1 4 5
SEA4 12 56
RTG3 10 53
SFT2 4 9
ECM21 16 108
YBL100W-C 3 4
YBL100C 0 0
ATP1 1 0
BNA4 10 620
BRN1 5 5
YBL096C 9 132
YBL095W 7 101
YBL094C 1 0
ROX3 5 75
RPL32 0 0
SCS22 4 6
MAP2 11 164
MRP21 3 3
AVT5 10 113
TEL1 23 355
RPL23A 2 2
YBL086C 5 228
BOI1 11 735
CDC27 0 0
YBL083C 2 3
ALG3 7 17
YBL081W 5 5
PET112 4 8
NUP170 8 24
ATG8 1 0
YBL077W 2 4
ILS1 0 0
SSA3 17 874
AAR2 10 204
YBL073W 8 28
RPS8A 0 0
YBL071C-B 0 0
KTI11 0 0
YBL071C 4 13
YBL070C 6 81
AST1 13 252
YBL068W-A 2 33
PRS4 4 54
UBP13 4 7
SEF1 10 130
YBL065W 7 124
PRX1 10 295
KIP1 24 467
YBL062W 2 2
SKT5 5 45
YEL1 12 43
CMC2 0 0
YBL059W 14 1223
SHP1 7 12
PTH2 6 46
PTC3 10 219
YBL055C 8 138
TOD6 7 527
YBL053W 0 0
SAS3 9 49
PIN4 5 20
SEC17 0 0
MOH1 0 0
RRT1 1 0
EDE1 12 382
PSY4 6 105
COR1 2 1
YBL044W 23 2563
ECM13 1 0
FUI1 11 200
PRE7 1 0
ERD2 3 4
YBL039W-B 2 1
URA7 13 144
YBL039C-A 0 0
MRPL16 2 1
APL3 4 22
YBL036C 5 7
POL12 5 65
STU1 4 49
RIB1 0 0
HEK2 3 15
SHE1 7 36
PET9 6 7
YBL029C-A 7 16
YBL029W 11 445
YBL028C 8 62
RPL19B 1 0
LSM2 0 0
RRN10 0 0
NCL1 10 49
MCM2 0 0
PIM1 10 181
HAP3 4 51
RFT1 1 0
APN2 9 73
POP8 2 1
PEP1 29 1079
FUS3 25 1502
ACH1 23 215
RRN6 3 3
FMT1 50 3064
YBL012C 7 195
SCT1 12 151
YBL010C 3 4
ALK2 14 320
YBL008W-A 4 9
HIR1 17 936
SLA1 17 702
LDB7 8 109
YBL006W-A 2 2
PDR3 26 864
UTP20 3 8
HTA2 10 28
HTB2 16 635
ECM15 13 876
NTH2 37 1651
RER2 11 1237
COQ1 6 10
GPI18 0 0
RCR1 18 1282
UGA2 33 1090
DSF2 59 5163
FLR1 34 751
HHF1 3 2
HHT1 6 125
IPP1 3 3
YBR012C 0 0
YBR013C 0 0
GRX7 6 133
MNN2 7 341
YBR016W 7 20
KAP104 3 40
GAL7 5 25
GAL10 22 233
GAL1 10 69
FUR4 18 450
POA1 3 4
CHS3 5 89
SCO2 0 0
OLA1 1 0
ETR1 3 7
YBR027C 24 929
YPK3 6 43
CDS1 0 0
RKM3 9 199
RPL4A 1 0
YBR032W 11 268
EDS1 14 854
HMT1 6 33
PDX3 4 4
CSG2 5 15
SCO1 2 46
CHS2 6 9
ATP3 2 1
FIG1 1 0
FAT1 5 12
CST26 11 249
QDR3 11 642
TCM62 11 155
GIP1 8 101
ZTA1 8 76
FMP23 5 331
RPS11B 4 32
REB1 2 1
REG2 5 10
YBR051W 2 1
RFS1 7 154
YBR053C 2 1
YRO2 6 137
PRP6 1 0
YBR056W 13 304
YBR056W-A 2 1
YBR056C-B 2 1
MUM2 7 154
UBP14 4 17
TSC3 0 0
AKL1 17 43
ORC2 2 1
TRM7 6 41
YBR062C 1 0
YBR063C 8 139
YBR064W 2 1
ECM2 13 958
NRG2 5 18
TIP1 2 1
BAP2 6 43
TAT1 11 75
ALG14 0 0
YBR071W 5 61
HSP26 6 201
YBR072C-A 7 8
RDH54 8 56
PFF1 15 882
ECM8 16 422
YBR076C-A 9 87
SLM4 2 2
ECM33 5 50
RPG1 5 12
SEC18 1 0
SPT7 11 76
UBC4 1 0
TEC1 12 645
MIS1 11 706
RPL19A 2 2
AAC3 3 3
YBR085C-A 1 0
IST2 7 91
RFC5 0 0
POL30 0 0
YBR089W 0 0
NHP6B 8 92
YBR090C 15 120
TIM12 0 0
PHO3 2 4
PHO5 6 9
PBY1 10 77
RXT2 1 0
YBR096W 2 2
VPS15 7 8
MMS4 1 0
YBR099C 0 0
FES1 3 2
EXO84 4 4
SIF2 5 4
YBR103C-A 10 82
YMC2 4 22
VID24 8 42
PHO88 2 3
IML3 0 0
AIM3 9 88
CMD1 0 0
YBR109W-A 10 210
ALG1 1 0
YSA1 3 5
SUS1 0 0
CYC8 7 15
YBR113W 7 60
RAD16 13 64
LYS2 6 22
YBR116C 5 30
TKL2 26 682
TEF2 1 0
MUD1 4 51
CBP6 0 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 0 0
TFC1 1 0
YBR124W 6 158
PTC4 6 33
TPS1 7 17
YBR126W-A 3 5
YBR126W-B 3 5
VMA2 0 0
ATG14 9 40
OPY1 1 0
SHE3 3 6
CCZ1 4 70
YBR131C-A 2 1
AGP2 6 61
HSL7 2 9
YBR134W 9 147
CKS1 2 1
MEC1 7 16
YBR137W 4 42
YBR138C 4 4
YBR139W 10 171
IRA1 14 284
BMT2 13 643
YBR141W-A 1 0
MAK5 2 1
SUP45 2 1
YBR144C 13 1397
ADH5 8 63
MRPS9 2 83
RTC2 5 56
YSW1 22 2732
ARA1 4 15
TBS1 13 558
APD1 6 10
SPP381 1 0
RIB7 0 0
RPB5 0 0
CNS1 0 0
SLI15 4 4
ICS2 2 28
AMN1 3 3
IFA38 1 0
CDC28 1 0
CSH1 2 1
TOS1 8 122
YSY6 2 8
EXO5 3 27
ARL1 1 0
UBS1 4 13
TYR1 1 0
POP7 0 0
PEX32 2 26
SSE2 4 9
NPL4 7 16
SEC66 2 2
SMY2 4 19
UMP1 0 0
YBR174C 8 97
SWD3 2 1
ECM31 3 6
EHT1 11 86
YBR178W 6 28
FZO1 6 91
DTR1 4 16
RPS6B 0 0
SMP1 1 0
YBR182C-A 0 0
YPC1 2 12
YBR184W 7 181
MBA1 3 4
PCH2 10 257
GDT1 4 14
NTC20 0 0
RPS9B 0 0
YBR190W 0 0
RPL21A 3 3
YBR191W-A 0 0
RIM2 2 45
MED8 0 0
AIM4 0 0
MSI1 3 5
PGI1 0 0
YBR196C-A 5 14
YBR196C-B 2 18
YBR197C 14 207
TAF5 4 7
KTR4 6 13
BEM1 4 6
YBR200W-A 0 0
DER1 9 71
YBR201C-A 0 0
MCM7 7 228
COS111 4 7
LDH1 10 149
KTR3 4 16
YBR206W 3 26
FTH1 5 15
DUR1,2 17 270
YBR209W 2 2
ERV15 1 0
AME1 2 1
NGR1 17 363
MET8 12 127
SDS24 12 528
HPC2 0 0
YBP1 4 29
ATG12 1 0
PYC2 12 107
YBR219C 8 115
YBR220C 7 133
PDB1 8 464
YBR221W-A 3 12
PCS60 6 11
TDP1 9 203
YBR223W-A 4 43
YBR224W 6 135
YBR225W 17 121
YBR226C 0 0
MCX1 1 0
SLX1 1 0
ROT2 15 70
OM14 4 17
YBR230W-A 9 121
SWC5 8 23
YBR232C 1 0
PBP2 7 10
DAD3 0 0
ARC40 1 0
VHC1 20 602
ABD1 1 0
PRP5 5 16
YBR238C 5 13
ERT1 27 1644
THI2 6 63
YBR241C 14 667
YBR242W 10 59
ALG7 0 0
GPX2 4 3
ISW1 16 382
RRT2 5 35
ENP1 0 0
HIS7 5 32
ARO4 0 0
SPO23 6 59
MRPS5 2 2
DUT1 0 0
SRB6 0 0
TRS20 0 0
MTC4 15 146
YBR255C-A 1 0
RIB5 0 0
POP4 0 0
SHG1 1 0
YBR259W 8 315
RGD1 13 206
TAE1 3 2
MIC12 1 0
SHM1 4 30
YPT10 4 14
TSC10 0 0
REI1 4 21
SLM6 0 0
MRPL37 0 0
SDH8 0 0
BIT2 6 65
EFM2 4 3
HSM3 5 6
UBX7 9 41
CHK1 0 0
RIF1 17 95
PPS1 5 12
YBR277C 4 5
DPB3 3 4
PAF1 2 1
SAF1 4 68
DUG2 9 40
MRPL27 4 4
SSH1 5 30
YBR284W 12 47
YBR285W 0 0
APE3 14 806
YBR287W 6 30
APM3 4 6
SNF5 5 10
BSD2 4 18
CTP1 7 64
YBR292C 3 11
VBA2 7 63
SUL1 21 1011
PCA1 17 472
PHO89 16 226
YBR296C-A 6 37
MAL33 8 357
MAL31 6 29
YBR298C-A 4 5
MAL32 2 6
YBR300C 2 32
PAU24 0 0
COS2 2 1
YCL076W 0 0
GEX1 2 2
VBA3 1 0
YCL068C 2 1
HMLALPHA2 0 0
HMLALPHA1 0 0
YCL065W 0 0
CHA1 1 0
VAC17 6 25
MRC1 3 5
KRR1 0 0
FYV5 5 95
ADF1 0 0
MIC10 8 189
PRD1 4 88
PEX34 2 7
KAR4 1 0
RDT1 1 0
SPB1 5 8
PBN1 3 5
LRE1 8 80
APA1 6 62
YCL049C 5 58
YCL048W-A 2 3
SPS22 12 105
POF1 6 33
EMC1 5 20
YCL046W 2 2
MGR1 7 103
PDI1 6 5
YCL041C 5 8
YCL042W 10 124
GLK1 28 1108
GID7 12 535
ATG22 9 96
SRO9 3 6
GFD2 9 124
GRX1 3 59
LSB5 6 55
MXR2 4 12
STE50 9 19
RRP7 0 0
HIS4 20 339
BIK1 24 362
RNQ1 11 74
FUS1 9 57
HBN1 7 28
FRM2 8 284
AGP1 33 1279
YCL023C 9 243
KCC4 23 1803
YCL022C 5 97
YCL021W-A 15 169
LEU2 11 144
NFS1 7 233
DCC1 8 81
BUD3 61 1681
YCL012C 6 17
GBP2 9 52
SGF29 15 213
ILV6 7 32
STP22 17 388
YCL007C 2 4
VMA9 1 0
LDB16 10 271
PGS1 10 169
YCL002C 8 36
RER1 10 61
YCL001W-A 7 18
YCL001W-B 2 1
YCR001W 13 217
CDC10 2 1
MRPL32 7 198
YCP4 8 77
CIT2 28 1351
YCR006C 53 1317
YCR007C 5 25
SAT4 14 271
RVS161 4 37
ADY2 18 1227
ADP1 34 1255
PGK1 3 2
YCR013C 3 4
POL4 19 336
YCR015C 4 5
YCR016W 5 86
CWH43 13 230
SRD1 2 4
YCR018C-A 6 6
MAK32 11 406
PET18 8 1297
MAK31 2 9
HTL1 0 0
HSP30 12 246
YCR022C 11 516
YCR023C 10 292
SLM5 3 4
YCR024C-B 3 4
PMP1 3 149
YCR025C 11 91
NPP1 16 117
RHB1 1 0
FEN2 4 3
RIM1 0 0
SYP1 11 261
RPS14A 4 33
BPH1 32 900
SNT1 7 11
ELO2 4 86
RRP43 0 0
RBK1 10 221
PHO87 16 170
BUD5 4 42
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 2 1
TAF2 7 19
YCR043C 8 19
PER1 5 9
RRT12 7 137
YCR045W-A 1 0
IMG1 2 2
BUD23 1 0
YCR047W-A 0 0
YCR049C 4 13
ARE1 18 814
YCR050C 3 3
YCR051W 3 5
RSC6 0 0
THR4 1 0
CTR86 1 0
PWP2 4 3
YIH1 6 12
TAH1 5 7
YCR061W 39 1853
YCR064C 11 494
BUD31 1 0
HCM1 10 63
RAD18 4 10
SED4 13 84
ATG15 15 212
CPR4 7 193
IMG2 4 50
RSA4 4 3
SSK22 25 888
SOL2 4 81
ERS1 4 35
YCR075W-A 1 0
FUB1 5 258
PAT1 2 7
PTC6 5 50
SRB8 9 12
YCR081C-A 2 1
AHC2 2 1
TRX3 4 79
TUP1 1 0
YCR085W 2 2
CSM1 2 1
YCR087W 0 0
YCR087C-A 0 0
ABP1 8 38
FIG2 11 216
YCR090C 0 0
KIN82 9 35
MSH3 9 51
CDC39 8 135
CDC50 3 2
OCA4 2 1
YCR095W-A 1 0
HMRA2 0 0
HMRA1 1 0
YCR097W-A 0 0
GIT1 9 371
YCR099C 3 3
YCR100C 11 709
YCR101C 1 0
YCR102C 5 54
YCR102W-A 1 0
PAU3 3 3
ADH7 10 156
RDS1 12 37
AAD3 6 27
YCR108C 5 16
COS7 3 2
YDL247W-A 0 0
MPH2 1 0
SOR2 1 0
HXT15 1 0
THI13 5 8
AAD4 6 8
YDL242W 5 8
YDL241W 2 14
YDL240C-A 7 86
LRG1 5 18
ADY3 6 21
GUD1 3 5
AIM6 7 164
PHO13 2 3
YPD1 0 0
GYP7 3 5
MFG1 4 48
OST4 0 0
BRE4 6 46
PTP1 8 16
SSB1 2 1
YDL228C 1 0
HO 9 45
GCS1 1 0
SHS1 5 53
WHI4 16 855
HBT1 22 882
FMP45 3 21
YDL221W 6 230
CDC13 5 13
DTD1 0 0
YDL218W 5 71
TIM22 0 0
RRI1 7 23
GDH2 18 280
PRR2 9 256
NOP6 3 8
SHR3 1 0
YDL211C 6 14
UGA4 7 78
CWC2 1 0
NHP2 0 0
GLE1 2 21
YDL206W 6 13
HEM3 2 1
RTN2 2 2
ACK1 11 77
MRPL11 1 0
TRM8 4 3
MGT1 1 0
YDL199C 6 15
GGC1 1 0
ASF2 11 310
YDL196W 11 196
SEC31 3 2
SNF3 4 18
NUS1 0 0
ARF1 0 0
RPL35A 1 0
UFD2 5 11
RBS1 4 9
PPH22 9 24
YDL187C 2 1
YDL186W 3 5
YDL185C-A 3 2
VMA1 0 0
RPL41A 0 0
YDL183C 3 3
LYS20 7 39
INH1 0 0
YDL180W 7 37
PCL9 4 18
DLD2 5 110
YDL177C 6 76
YDL176W 3 2
AIR2 4 3
DLD1 11 212
PAR32 2 9
YDL172C 2 9
GLT1 36 2872
UGA3 16 1538
UGX2 4 26
SFA1 9 494
NRP1 8 21
FAP7 1 0
CDC36 1 0
CDC9 6 37
YDL163W 2 28
YDL162C 1 0
ENT1 4 5
MHF2 1 0
DHH1 4 24
YDL159W-A 4 16
STE7 7 107
YDL159C-B 1 0
YDL158C 3 9
YDL157C 2 5
CMR1 4 39
CLB3 5 448
MSH5 16 628
SAS10 0 0
YDL152W 2 1
BUD30 0 0
RPC53 1 0
ATG9 5 198
NOP14 3 5
RPN5 1 0
LDB17 3 2
COP1 0 0
YDL144C 7 22
CCT4 1 0
CRD1 5 156
BPL1 3 2
RPO21 4 14
SCM3 0 0
RGT2 6 14
ARF2 6 176
RPL35B 1 0
RDI1 3 2
PPH21 7 80
RPL41B 0 0
SRF1 1 0
CDC53 2 1
LYS21 4 31
STF1 2 1
RPP1B 1 0
YDL129W 4 33
VCX1 6 81
PCL2 13 192
CDC48 1 0
HNT1 5 61
YDL124W 8 34
SNA4 3 38
UBP1 2 2
YDL121C 2 1
YFH1 1 0
YDL119C 5 200
YDL118W 2 9
CYK3 7 53
NUP84 0 0
IWR1 5 81
YDL114W-A 0 0
YDL114W 0 0
ATG20 8 44
TRM3 20 154
RRP42 1 0
TMA17 2 17
YDL109C 6 14
KIN28 0 0
MSS2 4 15
PHO2 2 1
NSE4 0 0
QRI7 5 67
QRI1 0 0
POL3 4 11
DUN1 1 0
GET3 3 6
BUG1 9 167
SNU23 1 0
RPN6 0 0
OPI6 11 309
PMT1 10 40
YDL094C 7 104
PMT5 10 149
SRP14 4 11
UBX3 4 57
RAM1 3 3
NUR1 4 9
ASM4 2 1
LUC7 0 0
YDL086W 9 86
YDL086C-A 5 47
YDL085C-A 1 0
NDE2 1 0
SUB2 3 4
RPS16B 0 0
RPL13A 3 3
RPP1A 0 0
THI3 4 37
MRK1 14 403
MDH3 3 8
VAM6 5 25
RXT3 1 0
RPL31A 0 0
BRE1 1 0
YDL073W 11 112
YET3 1 0
YDL071C 5 34
BDF2 4 22
CBS1 6 31
YDL068W 2 1
COX9 3 4
IDP1 8 43
PEX19 1 0
UBC9 1 0
SYO1 1 0
YDL062W 1 0
RPS29B 3 88
TSR1 2 2
RAD59 2 5
USO1 8 163
YDL057W 8 151
MBP1 6 6
PSA1 0 0
MCH1 15 400
PBP4 4 10
SLC1 7 31
LHP1 7 36
YDL050C 2 1
KNH1 23 659
STP4 20 348
SIT4 2 1
NPC2 1 0
MRP10 0 0
FAD1 3 16
MTF2 1 0
PRP11 0 0
SIR2 6 9
YDL041W 3 3
NAT1 13 575
PRM7 9 60
BSC1 3 48
PUS9 7 21
GPR1 20 49
YDL034W 6 13
SLM3 16 720
YDL032W 3 63
DBP10 2 1
PRP9 3 10
ARP2 0 0
MPS1 4 37
YDL027C 7 24
YDL026W 8 169
RTK1 16 136
YDL025W-A 2 1
DIA3 10 402
YDL022C-A 3 5
YDL023C 10 93
GPD1 17 286
GPM2 8 14
RPN4 7 110
OSH2 22 1035
ERP3 4 16
CDC7 9 191
YDL016C 5 31
TSC13 0 0
NOP1 0 0
SLX5 2 1
YDL012C 2 3
YDL011C 3 4
GRX6 4 5
YDL009C 2 2
APC11 2 1
YDL007C-A 0 0
RPT2 1 0
PTC1 2 7
MED2 10 165
ATP16 0 0
MCD1 2 3
NHP10 7 20
RMD1 29 1353
NTH1 24 201
YRB1 0 0
RCR2 14 502
YDR003W-A 1 0
RAD57 6 54
MAF1 7 58
SOK1 15 424
TRP1 456 228102
YDR008C 161 26907
GAL3 22 463
YDR010C 22 688
SNQ2 28 371
RPL4B 3 35
PSF1 1 0
RAD61 3 18
HED1 2 1
YDR015C 2 1
DAD1 0 0
KCS1 27 898
YDR018C 25 1874
GCV1 10 158
DAS2 10 252
FAL1 1 0
ATG31 2 2
SES1 1 0
FYV1 15 521
RPS11A 1 0
NSI1 3 4
VPS54 8 22
REG1 4 3
YDR029W 0 0
RAD28 9 97
MIX14 0 0
PST2 3 11
MRH1 8 165
LYS14 13 98
YDR034C-A 1 0
YDR034W-B 1 0
ARO3 2 2
EHD3 5 41
KRS1 4 6
ENA5 6 35
ENA2 8 8
ENA1 5 25
RSM10 1 0
YDR042C 0 0
NRG1 7 48
HEM13 0 0
RPC11 0 0
BAP3 9 43
HEM12 2 5
YDR048C 7 15
VMS1 5 14
TPI1 2 2
DET1 5 17
DBF4 0 0
YDR053W 0 0
CDC34 1 0
PST1 10 301
YDR056C 5 78
YOS9 11 108
TGL2 3 2
UBC5 4 12
MAK21 6 13
YDR061W 4 53
LCB2 0 0
AIM7 8 15
RPS13 1 0
RRG1 4 4
RTR2 4 6
OCA6 4 3
DOS2 4 108
DOA4 2 1
FMP16 1 0
PAA1 3 64
IPT1 10 278
SNF11 3 4
TPS2 4 16
PPH3 2 1
RAD55 7 75
SED1 3 5
SHU2 7 85
PET100 0 0
TFB5 0 0
VPS41 2 1
PDC2 1 0
STN1 5 7
RRP8 0 0
TVP23 7 275
AFR1 7 138
SSS1 0 0
RRP1 0 0
SLU7 0 0
YDR089W 7 17
YDR090C 2 1
RLI1 0 0
UBC13 4 3
DNF2 59 2636
YDR094W 21 505
YDR095C 7 17
GIS1 6 31
MSH6 14 120
GRX3 5 13
BMH2 8 34
TVP15 6 226
ARX1 2 12
YDR102C 2 52
STE5 2 6
SPO71 8 117
TMS1 6 32
ARP10 5 59
TMN2 10 105
TRS85 5 7
YDR109C 2 7
FOB1 3 4
ALT2 8 43
IRC2 8 230
PDS1 4 4
YDR114C 3 2
YDR115W 0 0
MRPL1 2 10
TMA64 1 0
APC4 4 6
YDR118W-A 0 0
VBA4 5 14
COX26 4 137
TRM1 7 115
DPB4 2 1
KIN1 6 54
INO2 1 0
YDR124W 3 6
ECM18 2 8
SWF1 7 21
ARO1 9 33
MTC5 7 32
SAC6 4 19
