gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 18 244
YAL068W-A 8 131
PAU8 1 0
YAL067W-A 0 0
SEO1 12 599
YAL066W 5 7
YAL065C 1 0
YAL064W-B 4 145
TDA8 2 1
YAL064W 2 1
YAL063C-A 8 156
FLO9 15 563
GDH3 54 2652
BDH2 12 127
BDH1 12 412
YAL059C-A 2 3
ECM1 3 8
CNE1 23 1570
YAL056C-A 6 108
GPB2 22 1398
PEX22 5 42
ACS1 26 832
FLC2 12 135
OAF1 13 129
AIM2 9 124
GEM1 11 204
YAL047W-A 6 229
SPC72 15 1391
AIM1 3 4
YAL045C 5 37
YAL044W-A 6 38
GCV3 3 5
PTA1 3 14
YAL042C-A 5 5
ERV46 12 93
CDC24 2 1
CLN3 6 63
CYC3 41 1190
CDC19 2 1
YAL037C-B 2 1
YAL037C-A 3 16
YAL037W 10 67
RBG1 21 1285
FUN12 2 3
YAL034C-B 17 508
MTW1 1 0
FUN19 9 114
POP5 0 0
PRP45 4 15
YAL031W-A 5 42
GIP4 10 157
SNC1 12 356
MYO4 29 1342
FRT2 14 695
SAW1 4 4
YAL026C-A 4 3
DRS2 7 319
MAK16 0 0
LTE1 11 130
PMT2 11 15
FUN26 21 459
CCR4 6 11
ATS1 10 364
YAL019W-A 19 1033
FUN30 12 100
LDS1 8 42
PSK1 23 564
YAL016C-B 5 14
YAL016C-A 5 26
TPD3 1 0
NTG1 16 53
SYN8 15 324
DEP1 3 8
CYS3 1 0
SWC3 12 459
MDM10 3 7
SPO7 6 19
FUN14 17 1968
ERP2 6 327
SSA1 30 420
YAL004W 6 31
EFB1 0 0
VPS8 49 3288
TFC3 12 214
NUP60 25 294
ERP1 21 449
SWD1 5 24
RFA1 1 0
SEN34 3 9
BUD14 15 231
ADE1 9 213
KIN3 3 15
CDC15 5 6
YAR019W-A 20 297
PAU7 3 73
YAR023C 22 1925
UIP3 8 142
YAR028W 4 68
YAR029W 0 0
YAR030C 1 0
PRM9 9 581
MST28 9 85
YAT1 95 5085
YAR035C-A 4 16
SWH1 20 413
YAR047C 0 0
FLO1 20 653
YAR053W 0 0
YAR060C 1 0
YAR064W 2 1
YAR066W 1 0
YAR068W 0 0
YAR069C 2 1
YAR070C 0 0
PHO11 2 2
IMD1 2 3
YAR075W 0 0
YBL113C 13 305
YBL113W-A 2 5
YBL112C 1 0
YBL111C 14 16
YBL109W 19 1200
PAU9 0 0
YBL108W 3 2
YBL107W-A 0 0
MIX23 10 57
SRO77 13 257
PKC1 1 0
SEA4 14 184
RTG3 5 53
SFT2 6 60
ECM21 19 315
YBL100W-C 1 0
YBL100C 0 0
ATP1 2 1
BNA4 8 233
BRN1 5 8
YBL096C 10 81
YBL095W 6 55
YBL094C 2 1
ROX3 3 15
RPL32 0 0
SCS22 5 165
MAP2 8 281
MRP21 3 4
AVT5 12 154
TEL1 22 541
