gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 15 248
YAL068W-A 7 11
PAU8 1 0
YAL067W-A 2 2
SEO1 13 66
YAL066W 4 4
YAL065C 2 1
YAL064W-B 6 54
TDA8 4 3
YAL064W 6 86
YAL063C-A 2 35
FLO9 21 124
GDH3 41 1088
BDH2 28 1319
BDH1 8 60
YAL059C-A 2 1
ECM1 1 0
CNE1 12 162
YAL056C-A 5 88
GPB2 11 96
PEX22 8 71
ACS1 21 515
FLC2 11 115
OAF1 22 438
AIM2 2 1
GEM1 13 182
YAL047W-A 5 65
SPC72 3 2
AIM1 2 1
YAL045C 2 1
YAL044W-A 4 21
GCV3 4 20
PTA1 8 68
YAL042C-A 10 174
ERV46 33 2635
CDC24 6 5
CLN3 13 877
CYC3 55 1295
CDC19 2 2
YAL037C-B 0 0
YAL037C-A 2 15
YAL037W 4 21
RBG1 24 668
FUN12 0 0
YAL034C-B 11 305
MTW1 10 35
FUN19 11 302
POP5 0 0
PRP45 8 122
YAL031W-A 3 4
GIP4 15 93
SNC1 7 110
MYO4 28 703
FRT2 5 5
SAW1 10 88
YAL026C-A 4 5
DRS2 12 29
MAK16 1 0
LTE1 19 283
PMT2 19 82
FUN26 15 211
CCR4 11 169
ATS1 12 259
YAL019W-A 21 707
FUN30 32 2838
LDS1 8 61
PSK1 26 159
YAL016C-B 4 31
YAL016C-A 1 0
TPD3 1 0
NTG1 18 304
SYN8 11 182
DEP1 8 37
CYS3 0 0
SWC3 16 994
MDM10 1 0
SPO7 8 21
FUN14 13 159
ERP2 4 60
SSA1 30 448
YAL004W 3 2
EFB1 0 0
VPS8 64 3694
TFC3 6 10
NUP60 24 543
ERP1 17 307
SWD1 16 183
RFA1 1 0
SEN34 1 0
BUD14 21 362
ADE1 13 63
KIN3 10 74
CDC15 3 2
YAR019W-A 18 403
PAU7 1 0
YAR023C 6 187
UIP3 5 4
YAR028W 16 67
YAR029W 0 0
YAR030C 2 1
PRM9 8 249
MST28 8 143
YAT1 42 1609
YAR035C-A 1 0
SWH1 20 458
YAR047C 0 0
FLO1 29 879
YAR053W 1 0
YAR060C 0 0
YAR064W 5 16
YAR066W 1 0
YAR068W 1 0
YAR069C 2 1
YAR070C 0 0
PHO11 0 0
IMD1 0 0
YAR075W 0 0
YBL113C 8 10
YBL113W-A 4 3
YBL112C 2 1
YBL111C 17 43
YBL109W 18 229
PAU9 0 0
YBL108W 9 467
YBL107W-A 1 0
MIX23 3 17
SRO77 18 564
PKC1 10 17
SEA4 23 1020
RTG3 7 56
SFT2 2 1
ECM21 43 1647
YBL100W-C 4 9
YBL100C 2 2
ATP1 5 6
BNA4 10 29
BRN1 8 30
YBL096C 9 86
YBL095W 10 75
YBL094C 3 2
ROX3 5 36
RPL32 1 0
SCS22 7 166
MAP2 8 185
MRP21 7 45
AVT5 3 34
TEL1 50 1008
RPL23A 2 1
YBL086C 6 49
BOI1 15 1039
CDC27 4 6
YBL083C 0 0
ALG3 5 8
YBL081W 5 6
PET112 11 25
NUP170 22 462
ATG8 0 0
YBL077W 0 0
ILS1 5 6
SSA3 14 247
AAR2 2 1
YBL073W 7 382
RPS8A 0 0
YBL071C-B 1 0
KTI11 1 0
YBL071C 1 0
YBL070C 2 1
AST1 5 53
YBL068W-A 0 0
PRS4 6 112
UBP13 5 183
SEF1 16 164
YBL065W 14 131
PRX1 4 8
KIP1 30 925
YBL062W 2 1
SKT5 7 8
YEL1 15 470
CMC2 2 1
YBL059W 2 2
SHP1 9 34
PTH2 7 145
PTC3 11 40
YBL055C 7 8
TOD6 20 813
YBL053W 2 1
SAS3 15 303
PIN4 5 4
SEC17 1 0
MOH1 1 0
RRT1 1 0
EDE1 15 146
PSY4 9 82
COR1 2 9
YBL044W 9 185
ECM13 7 179
FUI1 8 204
PRE7 0 0
ERD2 8 12
YBL039W-B 1 0
URA7 10 261
YBL039C-A 0 0
MRPL16 3 70
APL3 14 550
YBL036C 4 22
POL12 6 6
STU1 9 52
RIB1 3 3
HEK2 14 144
SHE1 11 87
PET9 2 13
YBL029C-A 5 7
YBL029W 30 1366
YBL028C 1 0
RPL19B 1 0
LSM2 3 2
RRN10 1 0
NCL1 18 166
MCM2 0 0
PIM1 10 26
HAP3 7 86
RFT1 1 0
APN2 6 122
POP8 3 3
PEP1 32 294
FUS3 23 958
ACH1 26 2774
RRN6 10 13
FMT1 64 2956
YBL012C 7 55
SCT1 30 811
YBL010C 7 167
ALK2 27 887
YBL008W-A 8 22
HIR1 24 385
SLA1 22 274
LDB7 11 181
YBL006W-A 5 24
PDR3 25 404
UTP20 11 11
HTA2 6 5
HTB2 11 119
ECM15 18 431
NTH2 40 3226
RER2 3 27
COQ1 17 349
GPI18 5 6
RCR1 12 327
UGA2 37 1084
DSF2 45 1765
FLR1 25 546
HHF1 5 55
HHT1 2 1
IPP1 4 3
YBR012C 0 0
YBR013C 0 0
GRX7 5 6
MNN2 11 253
YBR016W 8 53
KAP104 7 40
GAL7 7 35
GAL10 28 434
GAL1 16 225
FUR4 6 20
POA1 9 87
CHS3 10 52
SCO2 15 393
OLA1 8 48
ETR1 5 19
YBR027C 6 20
YPK3 4 9
CDS1 7 8
RKM3 12 26
RPL4A 2 1
YBR032W 7 63
EDS1 19 632
HMT1 7 45
PDX3 8 22
CSG2 9 33
SCO1 4 7
CHS2 7 6
ATP3 1 0
FIG1 1 0
FAT1 5 4
CST26 9 55
QDR3 20 321
TCM62 15 486
GIP1 12 185
ZTA1 5 5
FMP23 4 14
RPS11B 2 1
REB1 6 5
REG2 8 26
YBR051W 0 0
RFS1 6 108
YBR053C 10 166
YRO2 9 39
PRP6 1 0
YBR056W 16 159
YBR056W-A 1 0
YBR056C-B 1 0
MUM2 5 10
UBP14 5 17
TSC3 1 0
AKL1 11 143
ORC2 1 0
TRM7 3 2
YBR062C 0 0
YBR063C 1 0
YBR064W 2 2
ECM2 6 54
NRG2 7 102
TIP1 3 2
BAP2 9 206
TAT1 14 93
ALG14 2 1
YBR071W 11 687
HSP26 2 1
YBR072C-A 4 80
RDH54 21 212
PFF1 19 195
ECM8 16 867
YBR076C-A 11 241
SLM4 5 24
ECM33 10 90
RPG1 5 4
SEC18 3 2
SPT7 7 19
UBC4 5 4
TEC1 6 40
MIS1 13 198
RPL19A 5 6
AAC3 3 4
YBR085C-A 2 2
IST2 11 45
RFC5 1 0
POL30 2 1
YBR089W 2 1
NHP6B 4 4
YBR090C 11 113
TIM12 0 0
PHO3 8 19
PHO5 7 31
PBY1 6 43
RXT2 0 0
YBR096W 4 74
VPS15 9 33
MMS4 4 7
YBR099C 0 0
FES1 3 3
EXO84 2 5
SIF2 11 155
YBR103C-A 5 216
YMC2 2 1
VID24 4 8
PHO88 2 48
IML3 2 1
AIM3 7 18
CMD1 0 0
YBR109W-A 6 52
ALG1 1 0
YSA1 3 8
SUS1 3 2
CYC8 4 5
YBR113W 1 0
RAD16 11 23
LYS2 20 73
YBR116C 8 43
TKL2 20 241
TEF2 1 0
MUD1 2 1
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 1
TFC1 4 6
YBR124W 7 26
PTC4 12 54
TPS1 4 4
YBR126W-A 3 14
YBR126W-B 3 3
VMA2 4 4
ATG14 12 95
OPY1 4 3
SHE3 2 1
CCZ1 6 17
YBR131C-A 0 0
AGP2 7 35
HSL7 6 11
YBR134W 7 47
CKS1 0 0
MEC1 13 25
YBR137W 4 24
YBR138C 7 226
YBR139W 12 147
IRA1 23 203
BMT2 11 542
YBR141W-A 1 0
MAK5 4 4
SUP45 3 2
YBR144C 8 37
ADH5 10 234
MRPS9 9 88
RTC2 9 38
YSW1 12 455
ARA1 2 13
TBS1 20 631
APD1 8 17
SPP381 5 81
RIB7 0 0
RPB5 1 0
CNS1 1 0
SLI15 4 3
ICS2 5 76
AMN1 6 16
IFA38 2 1
CDC28 0 0
CSH1 2 17
TOS1 7 109
YSY6 0 0
EXO5 6 8
ARL1 0 0
UBS1 7 9
TYR1 4 96
POP7 1 0
PEX32 2 1
SSE2 10 22
NPL4 6 6
SEC66 1 0
