gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 17 425
YAL068W-A 9 17
PAU8 2 1
YAL067W-A 0 0
SEO1 11 78
YAL066W 1 0
YAL065C 2 1
YAL064W-B 4 28
TDA8 3 33
YAL064W 6 16
YAL063C-A 1 0
FLO9 18 66
GDH3 52 1255
BDH2 39 3338
BDH1 10 67
YAL059C-A 4 33
ECM1 3 21
CNE1 27 485
YAL056C-A 12 228
GPB2 14 46
PEX22 7 202
ACS1 39 793
FLC2 12 210
OAF1 26 601
AIM2 8 63
GEM1 9 34
YAL047W-A 5 6
SPC72 4 3
AIM1 4 6
YAL045C 3 10
YAL044W-A 3 12
GCV3 3 23
PTA1 3 2
YAL042C-A 7 23
ERV46 24 2199
CDC24 4 3
CLN3 7 116
CYC3 44 1179
CDC19 0 0
YAL037C-B 0 0
YAL037C-A 1 0
YAL037W 12 700
RBG1 18 371
FUN12 1 0
YAL034C-B 13 637
MTW1 7 47
FUN19 11 778
POP5 0 0
PRP45 3 2
YAL031W-A 2 9
GIP4 18 160
SNC1 7 129
MYO4 26 231
FRT2 10 67
SAW1 12 110
YAL026C-A 6 39
DRS2 17 140
MAK16 0 0
LTE1 21 135
PMT2 12 63
FUN26 18 101
CCR4 14 222
ATS1 16 581
YAL019W-A 28 616
FUN30 35 2930
LDS1 12 205
PSK1 32 252
YAL016C-B 3 14
YAL016C-A 8 114
TPD3 2 1
NTG1 19 123
SYN8 8 91
DEP1 10 36
CYS3 2 1
SWC3 16 909
MDM10 4 3
SPO7 3 3
FUN14 17 296
ERP2 7 47
SSA1 26 371
YAL004W 7 38
EFB1 1 0
VPS8 67 3108
TFC3 6 10
NUP60 29 594
ERP1 10 105
SWD1 15 210
RFA1 0 0
SEN34 1 0
BUD14 29 278
ADE1 9 70
KIN3 13 120
CDC15 6 47
YAR019W-A 26 586
PAU7 3 5
YAR023C 13 217
UIP3 17 261
YAR028W 21 489
YAR029W 1 0
YAR030C 7 238
PRM9 5 9
MST28 9 50
YAT1 60 1486
YAR035C-A 0 0
SWH1 19 443
YAR047C 0 0
FLO1 27 835
YAR053W 0 0
YAR060C 0 0
YAR064W 5 12
YAR066W 0 0
YAR068W 2 1
YAR069C 0 0
YAR070C 0 0
PHO11 0 0
IMD1 1 0
YAR075W 1 0
YBL113C 7 6
YBL113W-A 2 1
YBL112C 0 0
YBL111C 17 42
YBL109W 16 41
PAU9 0 0
YBL108W 8 416
YBL107W-A 2 1
MIX23 4 15
SRO77 28 504
PKC1 7 9
SEA4 23 683
RTG3 7 38
SFT2 5 26
ECM21 37 1424
YBL100W-C 5 12
YBL100C 0 0
ATP1 4 4
BNA4 8 191
BRN1 9 203
YBL096C 8 71
YBL095W 6 19
YBL094C 3 8
ROX3 3 6
RPL32 3 2
SCS22 6 113
MAP2 0 0
MRP21 3 8
AVT5 6 69
TEL1 36 706
RPL23A 3 2
YBL086C 3 6
BOI1 18 945
CDC27 4 3
YBL083C 0 0
ALG3 4 40
YBL081W 7 153
PET112 17 184
NUP170 13 25
ATG8 1 0
YBL077W 5 50
ILS1 1 0
SSA3 9 223
AAR2 5 5
YBL073W 10 450
RPS8A 0 0
YBL071C-B 2 2
KTI11 0 0
YBL071C 2 5
YBL070C 7 35
AST1 13 271
YBL068W-A 5 67
PRS4 4 7
UBP13 8 96
SEF1 11 28
YBL065W 4 4
PRX1 6 5
KIP1 38 1308
YBL062W 3 2
SKT5 13 16
YEL1 14 227
CMC2 0 0
YBL059W 4 12
SHP1 5 4
PTH2 6 80
PTC3 11 153
YBL055C 11 86
TOD6 8 577
YBL053W 1 0
SAS3 15 293
PIN4 2 27
SEC17 1 0
MOH1 2 2
RRT1 0 0
EDE1 13 354
PSY4 14 179
COR1 0 0
