gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 8 24
YAL068W-A 3 2
PAU8 1 0
YAL067W-A 2 1
SEO1 9 41
YAL066W 6 119
YAL065C 1 0
YAL064W-B 3 2
TDA8 4 196
YAL064W 3 4
YAL063C-A 2 7
FLO9 19 1431
GDH3 33 564
BDH2 21 488
BDH1 27 773
YAL059C-A 3 10
ECM1 4 11
CNE1 14 525
YAL056C-A 1 0
GPB2 24 434
PEX22 15 5168
ACS1 30 1156
FLC2 15 468
OAF1 31 3931
AIM2 11 53
GEM1 15 324
YAL047W-A 9 43
SPC72 4 38
AIM1 5 22
YAL045C 5 16
YAL044W-A 4 21
GCV3 9 273
PTA1 9 11
YAL042C-A 9 108
ERV46 27 1290
CDC24 7 10
CLN3 6 18
CYC3 47 1617
CDC19 2 1
YAL037C-B 1 0
YAL037C-A 0 0
YAL037W 7 135
RBG1 17 516
FUN12 1 0
YAL034C-B 12 436
MTW1 4 65
FUN19 6 69
POP5 0 0
PRP45 7 18
YAL031W-A 5 6
GIP4 26 481
SNC1 4 6
MYO4 25 184
FRT2 7 91
SAW1 10 381
YAL026C-A 3 11
DRS2 20 105
MAK16 0 0
LTE1 13 71
PMT2 24 386
FUN26 14 27
CCR4 16 219
ATS1 10 28
YAL019W-A 23 385
FUN30 21 422
LDS1 13 525
PSK1 26 485
YAL016C-B 6 35
YAL016C-A 7 76
TPD3 3 7
NTG1 16 480
SYN8 12 516
DEP1 6 36
CYS3 8 22
SWC3 15 242
MDM10 6 42
SPO7 9 242
FUN14 15 281
ERP2 15 161
SSA1 53 1936
YAL004W 1 0
EFB1 1 0
VPS8 58 3006
TFC3 14 196
NUP60 36 1075
ERP1 25 449
SWD1 28 1215
RFA1 0 0
SEN34 2 4
BUD14 29 356
ADE1 17 1214
KIN3 8 41
CDC15 8 10
YAR019W-A 17 447
PAU7 3 15
YAR023C 12 145
UIP3 9 95
YAR028W 8 83
YAR029W 2 1
YAR030C 2 1
PRM9 8 19
MST28 11 93
YAT1 70 3206
YAR035C-A 4 13
SWH1 25 655
YAR047C 0 0
FLO1 27 304
YAR053W 0 0
YAR060C 0 0
YAR064W 5 23
YAR066W 0 0
YAR068W 0 0
YAR069C 0 0
YAR070C 2 1
PHO11 2 1
IMD1 2 1
YAR075W 1 0
YBL113C 11 15
YBL113W-A 1 0
YBL112C 3 2
YBL111C 16 31
YBL109W 22 1009
PAU9 1 0
YBL108W 5 4
YBL107W-A 1 0
MIX23 1 0
SRO77 16 291
PKC1 11 11
SEA4 21 213
RTG3 7 67
SFT2 6 25
ECM21 23 1077
YBL100W-C 2 2
YBL100C 0 0
ATP1 5 5
BNA4 13 137
