gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 17 109
YAL068W-A 7 34
PAU8 0 0
YAL067W-A 2 2
SEO1 4 4
YAL066W 3 2
YAL065C 1 0
YAL064W-B 3 2
TDA8 1 0
YAL064W 1 0
YAL063C-A 4 26
FLO9 24 781
GDH3 40 728
BDH2 24 553
BDH1 18 349
YAL059C-A 2 5
ECM1 3 9
CNE1 30 876
YAL056C-A 8 101
GPB2 19 558
PEX22 16 4159
ACS1 43 1027
FLC2 18 231
OAF1 33 4499
AIM2 9 222
GEM1 12 132
YAL047W-A 7 149
SPC72 7 24
AIM1 3 3
YAL045C 4 36
YAL044W-A 6 47
GCV3 15 238
PTA1 6 7
YAL042C-A 7 88
ERV46 16 425
CDC24 6 8
CLN3 2 7
CYC3 51 1499
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 1 0
YAL037W 17 553
RBG1 8 196
FUN12 4 5
YAL034C-B 8 136
MTW1 8 144
FUN19 20 222
POP5 0 0
PRP45 7 192
YAL031W-A 5 35
GIP4 23 518
SNC1 5 101
MYO4 25 737
FRT2 12 63
SAW1 9 156
YAL026C-A 5 16
DRS2 19 157
MAK16 0 0
LTE1 7 44
PMT2 14 110
FUN26 17 707
CCR4 12 37
ATS1 18 150
YAL019W-A 24 353
FUN30 22 496
LDS1 13 316
PSK1 28 966
YAL016C-B 7 290
YAL016C-A 8 139
TPD3 4 5
NTG1 17 1510
SYN8 16 788
DEP1 12 61
CYS3 0 0
SWC3 7 26
MDM10 2 8
SPO7 2 2
FUN14 11 154
ERP2 12 239
SSA1 42 1977
YAL004W 3 7
EFB1 0 0
VPS8 52 2368
TFC3 18 318
NUP60 28 1450
ERP1 12 184
SWD1 22 883
RFA1 0 0
SEN34 0 0
BUD14 12 103
ADE1 21 2473
KIN3 8 132
CDC15 5 5
YAR019W-A 12 213
PAU7 3 14
YAR023C 6 13
UIP3 6 106
YAR028W 9 150
YAR029W 2 1
YAR030C 0 0
PRM9 8 34
MST28 5 58
YAT1 91 3731
YAR035C-A 3 83
SWH1 24 1213
YAR047C 0 0
FLO1 29 483
YAR053W 1 0
YAR060C 0 0
YAR064W 5 201
YAR066W 0 0
YAR068W 0 0
YAR069C 0 0
YAR070C 2 1
PHO11 0 0
IMD1 2 2
YAR075W 1 0
YBL113C 6 6
YBL113W-A 2 1
YBL112C 2 1
YBL111C 16 27
YBL109W 28 949
PAU9 1 0
YBL108W 5 8
YBL107W-A 1 0
MIX23 4 26
SRO77 18 637
PKC1 9 14
SEA4 20 162
RTG3 3 2
SFT2 7 35
ECM21 22 1043
YBL100W-C 4 6
YBL100C 0 0
ATP1 4 4
BNA4 4 10
BRN1 8 50
YBL096C 7 74
YBL095W 4 10
YBL094C 1 0
ROX3 4 189
RPL32 0 0
SCS22 5 52
MAP2 10 161
MRP21 3 4
AVT5 4 100
TEL1 29 656
RPL23A 2 1
YBL086C 9 364
BOI1 12 561
CDC27 8 10
YBL083C 2 2
ALG3 8 66
YBL081W 1 0
PET112 10 102
NUP170 10 286
ATG8 3 5
YBL077W 7 92
ILS1 4 4
SSA3 11 447
AAR2 4 64
YBL073W 10 721
RPS8A 0 0
YBL071C-B 0 0
KTI11 1 0
YBL071C 3 19
YBL070C 1 0
AST1 12 182
YBL068W-A 0 0
PRS4 6 15
UBP13 6 12
SEF1 13 197
YBL065W 4 104
PRX1 6 55
KIP1 26 266
YBL062W 3 15
SKT5 12 134
YEL1 3 13
CMC2 5 79
YBL059W 6 83
SHP1 2 1
PTH2 9 175
PTC3 10 121
YBL055C 12 617
TOD6 9 87
YBL053W 5 15
SAS3 9 90
PIN4 5 85
SEC17 1 0
MOH1 0 0
RRT1 1 0
EDE1 16 133
PSY4 13 181
COR1 3 43
YBL044W 14 599
ECM13 8 100
FUI1 9 192
PRE7 0 0
ERD2 2 1
YBL039W-B 1 0
URA7 5 7
YBL039C-A 0 0
MRPL16 1 0
APL3 16 205
YBL036C 4 4
POL12 7 10
STU1 9 56
RIB1 2 1
HEK2 8 199
SHE1 9 539
PET9 2 5
YBL029C-A 5 10
YBL029W 20 619
YBL028C 4 140
RPL19B 2 3
