gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 25 309
YAL068W-A 7 41
PAU8 3 4
YAL067W-A 5 5
SEO1 25 708
YAL066W 27 281
YAL065C 5 4
YAL064W-B 4 15
TDA8 9 103
YAL064W 6 11
YAL063C-A 14 64
FLO9 54 756
GDH3 131 2588
BDH2 102 3044
BDH1 60 1638
YAL059C-A 10 106
ECM1 15 170
CNE1 43 671
YAL056C-A 13 194
GPB2 69 2840
PEX22 13 186
ACS1 87 1834
FLC2 37 489
OAF1 87 1186
AIM2 23 234
GEM1 35 554
YAL047W-A 20 84
SPC72 9 69
AIM1 15 106
YAL045C 15 426
YAL044W-A 17 430
GCV3 21 314
PTA1 28 283
YAL042C-A 16 182
ERV46 43 580
CDC24 7 17
CLN3 36 907
CYC3 98 2251
CDC19 2 2
YAL037C-B 2 2
YAL037C-A 10 83
YAL037W 23 121
RBG1 46 782
FUN12 10 142
YAL034C-B 26 656
MTW1 14 57
FUN19 54 970
POP5 0 0
PRP45 14 316
YAL031W-A 9 112
GIP4 37 590
SNC1 17 337
MYO4 85 1793
FRT2 18 203
SAW1 21 156
YAL026C-A 20 184
DRS2 79 1258
MAK16 8 38
LTE1 42 717
PMT2 43 1796
FUN26 67 947
CCR4 54 377
ATS1 20 297
YAL019W-A 36 911
FUN30 46 722
LDS1 32 375
PSK1 129 3369
YAL016C-B 9 163
YAL016C-A 16 595
TPD3 11 110
NTG1 64 1518
SYN8 30 352
DEP1 32 284
CYS3 11 70
SWC3 40 558
MDM10 10 23
SPO7 17 135
FUN14 34 718
ERP2 36 1138
SSA1 140 3447
YAL004W 16 93
EFB1 1 0
VPS8 215 11160
TFC3 18 193
NUP60 60 667
ERP1 36 609
SWD1 37 574
RFA1 2 4
SEN34 5 33
BUD14 70 715
ADE1 40 1818
KIN3 55 881
CDC15 7 48
YAR019W-A 49 1152
PAU7 10 82
YAR023C 38 644
UIP3 26 457
YAR028W 38 864
YAR029W 7 73
YAR030C 15 391
PRM9 28 506
MST28 17 139
YAT1 216 6906
YAR035C-A 7 33
SWH1 81 830
YAR047C 0 0
FLO1 55 468
YAR053W 1 0
YAR060C 1 0
YAR064W 7 39
YAR066W 1 0
YAR068W 1 0
YAR069C 0 0
YAR070C 1 0
PHO11 6 17
IMD1 2 2
YAR075W 3 8
YBL113C 24 53
YBL113W-A 4 7
YBL112C 0 0
YBL111C 20 30
YBL109W 28 354
PAU9 0 0
YBL108W 16 138
YBL107W-A 1 0
MIX23 16 88
SRO77 58 1080
PKC1 13 46
SEA4 80 1652
RTG3 17 263
SFT2 13 50
ECM21 66 2534
YBL100W-C 9 40
YBL100C 1 0
ATP1 15 295
BNA4 40 433
BRN1 6 8
YBL096C 21 143
YBL095W 19 121
YBL094C 8 31
ROX3 13 35
RPL32 1 0
SCS22 23 500
MAP2 14 138
MRP21 9 87
AVT5 26 1487
TEL1 82 1558
RPL23A 8 17
YBL086C 10 72
BOI1 57 1160
CDC27 8 35
YBL083C 0 0
ALG3 22 293
YBL081W 5 107
PET112 23 510
NUP170 31 219
ATG8 1 0
YBL077W 16 380
ILS1 2 1
SSA3 49 1002
AAR2 11 93
YBL073W 20 450
RPS8A 4 3
YBL071C-B 1 0
KTI11 1 0
YBL071C 8 45
YBL070C 6 52
AST1 14 299
YBL068W-A 4 41
PRS4 17 159
UBP13 29 350
SEF1 60 1036
YBL065W 22 350
PRX1 22 856
KIP1 70 1223
YBL062W 11 121
SKT5 28 410
YEL1 38 673
CMC2 3 15
YBL059W 14 140
SHP1 30 380
PTH2 19 278
PTC3 18 264
YBL055C 39 659
TOD6 21 174
YBL053W 7 112
SAS3 26 592
PIN4 15 187
SEC17 2 1
MOH1 4 10
RRT1 6 55
EDE1 67 1175
PSY4 49 3679
COR1 21 225
YBL044W 60 1934
ECM13 32 387
FUI1 60 1467
PRE7 1 0
ERD2 8 11
YBL039W-B 5 14
URA7 25 346
YBL039C-A 2 1
MRPL16 8 218
APL3 28 503
YBL036C 21 285
POL12 7 14
STU1 24 179
RIB1 7 6
HEK2 11 174
SHE1 30 503
PET9 28 875
YBL029C-A 8 23
YBL029W 58 1420
YBL028C 11 190
RPL19B 3 8
LSM2 1 0
RRN10 6 75
NCL1 50 693
MCM2 4 22
PIM1 65 1679
HAP3 4 3
RFT1 3 8
APN2 58 1786
POP8 10 113
PEP1 142 3611
FUS3 54 990
ACH1 59 766
RRN6 12 98
FMT1 196 5323
YBL012C 21 591
SCT1 90 1795
YBL010C 30 499
ALK2 62 1303
YBL008W-A 16 139
HIR1 85 1484
SLA1 98 2643
LDB7 18 292
YBL006W-A 7 25
PDR3 117 2689
UTP20 10 56
HTA2 22 469
HTB2 46 2002
ECM15 38 742
NTH2 226 7229
RER2 25 911
COQ1 72 1799
GPI18 6 19
RCR1 88 1832
UGA2 213 6537
DSF2 178 8077
FLR1 147 4379
HHF1 6 17
HHT1 19 357
IPP1 7 66
YBR012C 0 0
YBR013C 0 0
GRX7 25 417
MNN2 55 1004
YBR016W 32 447
KAP104 9 63
GAL7 49 985
GAL10 148 2676
GAL1 86 1677
FUR4 25 226
POA1 29 715
CHS3 30 306
SCO2 38 1202
OLA1 13 111
ETR1 16 133
YBR027C 25 428
YPK3 22 435
CDS1 8 9
RKM3 25 341
RPL4A 4 3
YBR032W 34 516
EDS1 64 993
HMT1 20 175
PDX3 7 12
CSG2 11 76
SCO1 8 40
CHS2 10 22
ATP3 17 631
FIG1 7 22
FAT1 30 528
CST26 13 67
QDR3 56 1334
TCM62 42 412
GIP1 25 353
ZTA1 25 2232
FMP23 15 189
RPS11B 5 22
REB1 3 2
REG2 15 397
YBR051W 4 70
RFS1 21 163
YBR053C 13 137
YRO2 30 510
PRP6 20 188
YBR056W 28 315
YBR056W-A 2 1
YBR056C-B 2 1
MUM2 29 485
UBP14 13 89
TSC3 0 0
AKL1 56 791
ORC2 8 57
TRM7 8 110
YBR062C 14 91
YBR063C 8 41
YBR064W 8 41
ECM2 21 185
NRG2 14 74
TIP1 6 24
BAP2 44 450
TAT1 35 782
ALG14 1 0
YBR071W 29 724
HSP26 15 166
YBR072C-A 7 31
RDH54 31 742
PFF1 50 619
ECM8 33 344
YBR076C-A 13 30
SLM4 14 59
ECM33 24 464
RPG1 7 19
SEC18 0 0
SPT7 22 180
UBC4 8 82
TEC1 30 509
MIS1 47 990
RPL19A 6 34
AAC3 18 405
YBR085C-A 5 51
IST2 49 1316
RFC5 1 0
POL30 3 2
YBR089W 1 0
NHP6B 18 139
YBR090C 41 266
TIM12 2 1
PHO3 29 267
PHO5 23 271
PBY1 24 254
RXT2 9 178
YBR096W 10 32
VPS15 22 226
MMS4 15 444
YBR099C 6 63
FES1 4 5
EXO84 10 76
SIF2 22 88
YBR103C-A 19 386
YMC2 29 452
VID24 12 58
PHO88 15 106
IML3 2 3
AIM3 26 374
CMD1 0 0
YBR109W-A 16 311
ALG1 2 1
YSA1 9 75
SUS1 2 6
CYC8 9 19
YBR113W 6 7
RAD16 45 705
LYS2 49 757
YBR116C 20 183
TKL2 66 1830
TEF2 13 20
MUD1 10 114
CBP6 6 42
GRS1 1 0
YBR121C-A 0 0
MRPL36 1 0
TFC1 4 11
YBR124W 12 63
PTC4 12 106
TPS1 6 29
YBR126W-A 8 46
YBR126W-B 8 55
VMA2 7 45
ATG14 35 421
OPY1 6 93
SHE3 5 10
CCZ1 13 100
YBR131C-A 0 0
AGP2 18 165
HSL7 18 553
YBR134W 19 385
CKS1 3 3
MEC1 26 68
YBR137W 6 20
YBR138C 12 210
YBR139W 36 825
IRA1 61 2367
BMT2 19 493
YBR141W-A 2 1
MAK5 3 2
SUP45 1 0
YBR144C 46 1319
ADH5 16 102
MRPS9 5 41
RTC2 16 150
YSW1 43 579
ARA1 7 39
TBS1 37 690
APD1 15 104
SPP381 5 9
RIB7 0 0
RPB5 2 3
CNS1 1 0
SLI15 12 58
ICS2 9 93
AMN1 23 291
IFA38 0 0
CDC28 0 0
CSH1 10 63
TOS1 20 117
YSY6 2 1
EXO5 17 354
ARL1 2 1
UBS1 14 446
TYR1 15 93
POP7 0 0
PEX32 11 87
SSE2 18 195
NPL4 21 178
SEC66 3 2
SMY2 22 381
UMP1 0 0
