gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 21 684
YAL068W-A 6 295
PAU8 3 41
YAL067W-A 2 1
SEO1 15 668
YAL066W 9 23
YAL065C 3 2
YAL064W-B 3 2
TDA8 8 534
YAL064W 5 6
YAL063C-A 12 108
FLO9 31 458
GDH3 97 2503
BDH2 88 2767
BDH1 55 1570
YAL059C-A 11 90
ECM1 12 64
CNE1 27 362
YAL056C-A 6 94
GPB2 60 1785
PEX22 12 161
ACS1 73 1440
FLC2 37 662
OAF1 39 467
AIM2 16 220
GEM1 21 227
YAL047W-A 10 118
SPC72 13 246
AIM1 3 39
YAL045C 5 11
YAL044W-A 6 44
GCV3 15 148
PTA1 23 195
YAL042C-A 14 165
ERV46 32 313
CDC24 7 45
CLN3 21 416
CYC3 89 2684
CDC19 0 0
YAL037C-B 0 0
YAL037C-A 3 10
YAL037W 27 641
RBG1 22 353
FUN12 4 4
YAL034C-B 23 478
MTW1 13 188
FUN19 44 1075
POP5 0 0
PRP45 12 145
YAL031W-A 8 22
GIP4 35 652
SNC1 16 201
MYO4 72 1829
FRT2 25 487
SAW1 21 1039
YAL026C-A 14 204
DRS2 54 646
MAK16 1 0
LTE1 35 583
PMT2 31 692
FUN26 42 1240
CCR4 26 328
ATS1 33 707
YAL019W-A 44 1092
FUN30 35 497
LDS1 22 457
PSK1 119 3488
YAL016C-B 17 241
YAL016C-A 16 588
TPD3 4 17
NTG1 42 597
SYN8 22 431
DEP1 11 98
CYS3 2 1
SWC3 26 358
MDM10 8 43
SPO7 23 245
FUN14 29 869
ERP2 17 305
SSA1 123 4844
YAL004W 15 540
EFB1 1 0
VPS8 208 10262
TFC3 15 237
NUP60 57 1169
ERP1 41 770
SWD1 33 605
RFA1 2 9
SEN34 2 1
BUD14 74 1172
ADE1 40 897
KIN3 35 420
CDC15 6 7
YAR019W-A 35 344
PAU7 11 195
YAR023C 44 1286
UIP3 13 146
YAR028W 26 466
YAR029W 2 1
YAR030C 5 100
PRM9 14 188
MST28 16 175
YAT1 169 4579
YAR035C-A 11 180
SWH1 74 1395
YAR047C 1 0
FLO1 51 745
YAR053W 3 2
YAR060C 0 0
YAR064W 12 146
YAR066W 1 0
YAR068W 0 0
YAR069C 0 0
YAR070C 0 0
PHO11 5 42
IMD1 3 2
YAR075W 1 0
YBL113C 21 59
YBL113W-A 5 6
YBL112C 0 0
YBL111C 19 34
YBL109W 26 266
PAU9 0 0
YBL108W 14 111
YBL107W-A 3 4
MIX23 11 107
SRO77 40 669
PKC1 8 30
SEA4 41 901
RTG3 10 69
SFT2 8 217
ECM21 62 3222
YBL100W-C 5 28
YBL100C 1 0
ATP1 23 552
BNA4 29 462
BRN1 9 59
YBL096C 13 106
YBL095W 12 45
YBL094C 2 1
ROX3 10 46
RPL32 2 1
SCS22 12 120
MAP2 10 151
MRP21 4 31
AVT5 22 1324
TEL1 67 1802
RPL23A 11 92
YBL086C 5 35
BOI1 34 477
CDC27 12 21
YBL083C 5 35
ALG3 16 122
YBL081W 9 11
PET112 15 290
NUP170 23 132
ATG8 1 0
YBL077W 9 124
ILS1 0 0
SSA3 39 608
AAR2 5 4
YBL073W 16 407
