gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 25 465
YAL068W-A 13 600
PAU8 3 15
YAL067W-A 3 6
SEO1 25 1148
YAL066W 12 45
YAL065C 5 25
YAL064W-B 7 7
TDA8 5 39
YAL064W 7 22
YAL063C-A 11 885
FLO9 33 1175
GDH3 116 6156
BDH2 50 1873
BDH1 30 341
YAL059C-A 12 153
ECM1 8 68
CNE1 40 3530
YAL056C-A 13 749
GPB2 55 2531
PEX22 6 204
ACS1 55 1974
FLC2 29 828
OAF1 45 1408
AIM2 8 118
GEM1 22 253
YAL047W-A 15 155
SPC72 5 48
AIM1 4 8
YAL045C 4 13
YAL044W-A 9 279
GCV3 11 138
PTA1 7 26
YAL042C-A 8 129
ERV46 45 1514
CDC24 6 8
CLN3 29 397
CYC3 110 4974
CDC19 4 9
YAL037C-B 4 12
YAL037C-A 5 95
YAL037W 11 104
RBG1 29 2073
FUN12 2 1
YAL034C-B 35 2521
MTW1 10 73
FUN19 40 1714
POP5 2 1
PRP45 17 184
YAL031W-A 9 95
GIP4 33 534
SNC1 13 1368
MYO4 56 1426
FRT2 21 469
SAW1 20 621
YAL026C-A 15 119
DRS2 36 396
MAK16 0 0
LTE1 26 616
PMT2 33 1920
FUN26 42 2133
CCR4 27 470
ATS1 23 728
YAL019W-A 22 543
FUN30 23 503
LDS1 20 629
PSK1 70 1344
YAL016C-B 12 572
YAL016C-A 11 189
TPD3 2 1
NTG1 57 2575
SYN8 18 403
DEP1 29 270
CYS3 4 9
SWC3 25 293
MDM10 8 40
SPO7 5 15
FUN14 35 1127
ERP2 12 217
SSA1 94 4278
YAL004W 14 158
EFB1 2 2
VPS8 186 10853
TFC3 30 343
NUP60 45 1577
ERP1 32 925
SWD1 31 527
RFA1 1 0
SEN34 2 1
BUD14 59 1025
ADE1 16 182
KIN3 21 474
CDC15 8 30
YAR019W-A 28 1396
PAU7 10 305
YAR023C 16 1513
UIP3 19 629
YAR028W 16 60
YAR029W 2 4
YAR030C 4 3
PRM9 27 888
MST28 11 1015
YAT1 186 10129
YAR035C-A 6 51
SWH1 75 2057
YAR047C 0 0
FLO1 45 858
YAR053W 5 22
YAR060C 0 0
YAR064W 7 83
YAR066W 0 0
YAR068W 1 0
YAR069C 1 0
YAR070C 1 0
PHO11 5 17
IMD1 3 5
YAR075W 0 0
YBL113C 14 32
YBL113W-A 1 0
YBL112C 0 0
