gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 18 393
YAL068W-A 9 70
PAU8 2 1
YAL067W-A 1 0
SEO1 22 623
YAL066W 4 39
YAL065C 4 6
YAL064W-B 5 8
TDA8 7 200
YAL064W 5 14
YAL063C-A 8 466
FLO9 36 1162
GDH3 110 5629
BDH2 34 1649
BDH1 32 618
YAL059C-A 7 84
ECM1 5 15
CNE1 34 2207
YAL056C-A 9 581
GPB2 48 1877
PEX22 10 139
ACS1 48 2142
FLC2 32 815
OAF1 44 1334
AIM2 8 49
GEM1 19 139
YAL047W-A 8 52
SPC72 4 65
AIM1 4 4
YAL045C 3 7
YAL044W-A 8 378
GCV3 15 269
PTA1 10 28
YAL042C-A 3 40
ERV46 22 1086
CDC24 5 5
CLN3 29 492
CYC3 97 3828
CDC19 7 43
YAL037C-B 6 40
YAL037C-A 8 183
YAL037W 11 132
RBG1 27 2375
FUN12 3 2
YAL034C-B 27 2335
MTW1 5 57
FUN19 26 1253
POP5 0 0
PRP45 12 203
YAL031W-A 14 224
GIP4 45 713
SNC1 19 1248
MYO4 38 898
FRT2 22 688
SAW1 15 530
YAL026C-A 9 136
DRS2 30 718
MAK16 0 0
LTE1 19 125
PMT2 28 781
FUN26 58 2134
CCR4 13 88
ATS1 15 514
YAL019W-A 20 824
FUN30 33 828
LDS1 22 396
PSK1 69 1904
YAL016C-B 9 855
YAL016C-A 6 25
TPD3 2 3
NTG1 53 3636
SYN8 14 549
DEP1 23 407
CYS3 4 3
SWC3 20 163
MDM10 5 7
SPO7 9 44
FUN14 23 1113
ERP2 19 380
SSA1 79 3186
YAL004W 4 3
EFB1 1 0
VPS8 145 9209
TFC3 14 170
NUP60 45 1533
ERP1 27 685
SWD1 22 219
RFA1 0 0
SEN34 1 0
BUD14 35 1191
ADE1 12 247
KIN3 12 122
CDC15 13 24
YAR019W-A 33 1995
PAU7 8 96
YAR023C 18 1479
UIP3 14 159
YAR028W 12 215
YAR029W 2 12
YAR030C 4 18
PRM9 21 369
MST28 15 1359
YAT1 154 9494
YAR035C-A 6 113
SWH1 66 2822
YAR047C 0 0
FLO1 37 432
YAR053W 3 64
YAR060C 0 0
YAR064W 12 112
YAR066W 1 0
YAR068W 0 0
YAR069C 1 0
YAR070C 0 0
PHO11 4 4
IMD1 8 31
YAR075W 1 0
YBL113C 23 53
YBL113W-A 2 1
YBL112C 2 1
YBL111C 18 19
YBL109W 22 255
PAU9 0 0
YBL108W 4 23
YBL107W-A 0 0
MIX23 24 2107
SRO77 12 288
PKC1 10 16
SEA4 40 1207
RTG3 8 115
SFT2 6 62
ECM21 46 2663
YBL100W-C 5 46
YBL100C 1 0
ATP1 8 65
BNA4 13 354
BRN1 10 405
YBL096C 8 195
YBL095W 12 425
YBL094C 4 68
ROX3 3 14
RPL32 0 0
SCS22 11 888
MAP2 14 157
MRP21 3 20
AVT5 8 77
TEL1 50 1494
RPL23A 12 113
YBL086C 8 404
BOI1 21 665
CDC27 6 12
YBL083C 5 35
ALG3 18 105
YBL081W 6 80
PET112 11 87
NUP170 25 866
ATG8 3 2
YBL077W 8 162
ILS1 3 2
SSA3 47 2764
AAR2 7 10
YBL073W 10 652
RPS8A 3 11
YBL071C-B 2 1
KTI11 3 2
YBL071C 3 29
YBL070C 10 178
AST1 19 724
YBL068W-A 0 0
PRS4 8 140
UBP13 15 285
SEF1 26 207
YBL065W 8 324
PRX1 17 445
KIP1 35 1206
YBL062W 4 63
SKT5 13 114
YEL1 17 235
CMC2 2 1
YBL059W 9 171
SHP1 18 1551
PTH2 10 788
PTC3 15 222
YBL055C 26 769
TOD6 14 152
YBL053W 8 86
SAS3 7 126
PIN4 5 27
SEC17 1 0
MOH1 2 2
RRT1 4 49
EDE1 38 1889
PSY4 15 1030
COR1 9 34
YBL044W 41 1516
ECM13 8 50
FUI1 29 932
PRE7 0 0
ERD2 8 18
YBL039W-B 0 0
URA7 8 100
YBL039C-A 0 0
MRPL16 5 47
APL3 45 1419
YBL036C 10 256
POL12 10 41
STU1 10 113
RIB1 3 4
HEK2 2 1
SHE1 19 740
PET9 17 437
YBL029C-A 9 136
YBL029W 35 2283
YBL028C 9 284
RPL19B 1 0
LSM2 1 0
RRN10 0 0
NCL1 27 940
MCM2 4 3
PIM1 33 772
HAP3 4 10
RFT1 2 1
APN2 27 570
POP8 4 39
PEP1 103 3908
FUS3 33 1350
ACH1 49 2661
RRN6 12 189
FMT1 113 7328
YBL012C 7 23
SCT1 47 1895
YBL010C 13 176
ALK2 48 2648
YBL008W-A 8 81
HIR1 40 773
SLA1 41 2578
LDB7 24 1451
YBL006W-A 9 924
PDR3 64 4476
UTP20 9 33
HTA2 15 198
HTB2 31 970
