gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 25 656
YAL068W-A 12 303
PAU8 3 2
YAL067W-A 7 75
SEO1 25 805
YAL066W 13 264
YAL065C 1 0
YAL064W-B 10 208
TDA8 18 449
YAL064W 3 12
YAL063C-A 6 77
FLO9 62 2023
GDH3 102 3307
BDH2 86 3394
BDH1 32 273
YAL059C-A 14 195
ECM1 12 176
CNE1 49 2131
YAL056C-A 10 256
GPB2 48 1357
PEX22 17 309
ACS1 78 1734
FLC2 52 983
OAF1 61 2045
AIM2 23 1099
GEM1 35 704
YAL047W-A 14 123
SPC72 9 184
AIM1 5 52
YAL045C 10 108
YAL044W-A 14 162
GCV3 21 547
PTA1 20 319
YAL042C-A 18 414
ERV46 43 1142
CDC24 3 6
CLN3 16 333
CYC3 130 3104
CDC19 4 4
YAL037C-B 4 9
YAL037C-A 4 3
YAL037W 26 196
RBG1 25 244
FUN12 5 13
YAL034C-B 26 1455
MTW1 13 136
FUN19 47 1233
POP5 0 0
PRP45 15 210
YAL031W-A 8 50
GIP4 41 827
SNC1 24 673
MYO4 90 2070
FRT2 27 656
SAW1 25 506
YAL026C-A 17 208
DRS2 31 669
MAK16 2 2
LTE1 39 625
PMT2 36 1110
FUN26 38 939
CCR4 31 318
ATS1 33 504
YAL019W-A 41 1284
FUN30 67 1230
LDS1 22 339
PSK1 100 2501
YAL016C-B 13 319
YAL016C-A 15 285
TPD3 1 0
NTG1 46 1279
SYN8 36 887
DEP1 28 490
CYS3 5 66
SWC3 31 551
MDM10 17 308
SPO7 30 839
FUN14 30 533
ERP2 35 764
SSA1 130 3536
YAL004W 17 459
EFB1 0 0
VPS8 198 6980
TFC3 16 256
NUP60 77 2249
ERP1 45 1190
SWD1 46 1058
RFA1 2 1
SEN34 6 39
BUD14 92 1927
ADE1 29 1005
KIN3 34 520
CDC15 4 15
YAR019W-A 55 2312
PAU7 10 123
YAR023C 24 482
UIP3 19 858
YAR028W 32 978
YAR029W 3 5
YAR030C 14 251
PRM9 30 692
MST28 33 846
YAT1 195 5165
YAR035C-A 15 261
SWH1 73 1873
YAR047C 0 0
FLO1 72 1100
YAR053W 0 0
YAR060C 0 0
YAR064W 7 29
YAR066W 0 0
YAR068W 4 3
YAR069C 0 0
YAR070C 0 0
PHO11 5 18
IMD1 1 0
YAR075W 2 1
YBL113C 20 237
YBL113W-A 4 3
YBL112C 2 1
YBL111C 21 30
YBL109W 30 441
PAU9 1 0
YBL108W 15 271
YBL107W-A 0 0
MIX23 5 36
SRO77 40 697
PKC1 9 49
SEA4 33 1194
RTG3 12 40
SFT2 7 43
ECM21 59 1147
YBL100W-C 7 82
YBL100C 3 5
ATP1 6 15
BNA4 26 424
BRN1 10 28
YBL096C 16 299
YBL095W 13 81
YBL094C 5 15
ROX3 4 40
RPL32 1 0
SCS22 7 14
MAP2 19 489
MRP21 4 17
AVT5 18 321
TEL1 66 1702
RPL23A 6 60
YBL086C 11 208
BOI1 27 308
CDC27 7 11
YBL083C 6 22
ALG3 25 340
YBL081W 8 98
PET112 18 181
NUP170 32 449
ATG8 7 32
YBL077W 13 381
ILS1 2 1
