gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 22 815
YAL068W-A 6 115
PAU8 2 2
YAL067W-A 1 0
SEO1 22 261
YAL066W 8 82
YAL065C 6 56
YAL064W-B 3 3
TDA8 4 69
YAL064W 3 14
YAL063C-A 14 546
FLO9 56 3391
GDH3 99 2504
BDH2 82 3540
BDH1 44 2033
YAL059C-A 9 48
ECM1 12 302
CNE1 52 1208
YAL056C-A 17 253
GPB2 41 1153
PEX22 20 424
ACS1 75 1585
FLC2 31 584
OAF1 60 2074
AIM2 9 238
GEM1 15 76
YAL047W-A 10 150
SPC72 4 58
AIM1 11 572
YAL045C 8 25
YAL044W-A 13 87
GCV3 17 317
PTA1 14 80
YAL042C-A 24 735
ERV46 58 2588
CDC24 4 3
CLN3 18 430
CYC3 95 2190
CDC19 2 1
YAL037C-B 1 0
YAL037C-A 5 258
YAL037W 21 293
RBG1 23 495
FUN12 4 5
YAL034C-B 19 833
MTW1 7 31
FUN19 37 1025
POP5 0 0
PRP45 13 238
YAL031W-A 2 1
GIP4 30 938
SNC1 12 144
MYO4 74 2754
FRT2 33 510
SAW1 31 1134
YAL026C-A 23 504
DRS2 29 397
MAK16 2 1
LTE1 27 813
PMT2 41 1179
FUN26 37 1689
CCR4 29 421
ATS1 20 413
YAL019W-A 47 1923
FUN30 56 801
LDS1 23 277
PSK1 70 2123
YAL016C-B 7 146
YAL016C-A 14 353
TPD3 3 4
NTG1 45 923
SYN8 31 678
DEP1 30 302
CYS3 4 3
SWC3 32 546
MDM10 12 52
SPO7 23 228
FUN14 37 2802
ERP2 23 611
SSA1 97 2925
YAL004W 11 84
EFB1 2 3
VPS8 162 5729
TFC3 18 192
NUP60 53 1463
ERP1 41 1770
SWD1 48 1074
RFA1 5 37
SEN34 3 5
BUD14 58 1963
ADE1 42 1727
KIN3 33 586
CDC15 10 45
YAR019W-A 42 1224
PAU7 12 136
YAR023C 26 1105
UIP3 33 1161
YAR028W 32 1171
YAR029W 4 41
YAR030C 10 312
PRM9 26 1057
MST28 35 719
YAT1 161 5122
YAR035C-A 11 128
SWH1 65 1854
YAR047C 0 0
FLO1 58 1144
YAR053W 3 5
YAR060C 0 0
YAR064W 15 137
YAR066W 1 0
YAR068W 1 0
YAR069C 1 0
YAR070C 0 0
PHO11 3 2
IMD1 2 1
YAR075W 3 21
YBL113C 16 102
YBL113W-A 2 1
YBL112C 0 0
YBL111C 19 26
YBL109W 27 301
PAU9 0 0
YBL108W 7 8
YBL107W-A 1 0
MIX23 17 585
SRO77 27 483
PKC1 6 11
SEA4 39 1118
RTG3 4 3
SFT2 15 226
ECM21 50 1822
YBL100W-C 10 76
YBL100C 4 7
ATP1 9 73
BNA4 23 507
BRN1 5 5
YBL096C 20 456
YBL095W 15 216
YBL094C 5 34
ROX3 7 14
RPL32 1 0
SCS22 11 186
MAP2 13 259
MRP21 6 21
AVT5 26 339
TEL1 53 1431
RPL23A 2 11
YBL086C 12 191
BOI1 25 868
CDC27 6 9
YBL083C 1 0
ALG3 13 57
YBL081W 16 440
PET112 16 314
NUP170 23 164
ATG8 2 1
YBL077W 11 592
ILS1 3 2
SSA3 34 1466
AAR2 10 333
YBL073W 16 515
RPS8A 2 1
YBL071C-B 2 9
KTI11 0 0
YBL071C 6 73
YBL070C 15 514
AST1 24 499
YBL068W-A 0 0
PRS4 12 199
UBP13 12 101
SEF1 38 915
YBL065W 16 189
PRX1 6 27
KIP1 52 1845
YBL062W 2 1
SKT5 23 417
YEL1 28 532
CMC2 4 8
YBL059W 18 417
SHP1 23 705
PTH2 10 343
PTC3 20 816
YBL055C 10 149
TOD6 21 459
YBL053W 9 57
SAS3 27 584
PIN4 15 185
SEC17 4 3
MOH1 5 33
RRT1 3 19
EDE1 52 1091
PSY4 26 662
COR1 11 77
YBL044W 42 2498
ECM13 19 349
FUI1 27 813
PRE7 0 0
ERD2 4 3
YBL039W-B 1 0
URA7 7 112
YBL039C-A 0 0
MRPL16 3 3
APL3 31 638
YBL036C 5 243
POL12 7 26
STU1 25 328
RIB1 1 0
HEK2 8 39
SHE1 18 252
PET9 10 42
YBL029C-A 8 69
YBL029W 64 2316
YBL028C 8 72
RPL19B 1 0
LSM2 2 1
RRN10 1 0
NCL1 20 484
MCM2 5 5
PIM1 42 872
HAP3 11 89
RFT1 7 133
APN2 33 905
POP8 7 139
PEP1 73 2124
FUS3 37 1049
ACH1 60 1909
RRN6 17 114
FMT1 190 11284
YBL012C 22 995
SCT1 45 1987
YBL010C 11 87
ALK2 39 1021
YBL008W-A 17 250
HIR1 58 1279
SLA1 58 1163
LDB7 28 814
YBL006W-A 11 295
PDR3 111 4906
UTP20 6 13
HTA2 25 310
HTB2 35 1738
ECM15 30 1260
NTH2 124 4458
RER2 27 1314
COQ1 55 1965
GPI18 4 64
RCR1 43 1795
UGA2 150 7106
DSF2 131 4695
FLR1 97 4287
HHF1 4 10
HHT1 5 13
IPP1 1 0
YBR012C 0 0
YBR013C 0 0
GRX7 18 592
MNN2 52 1667
YBR016W 37 1062
KAP104 12 208
GAL7 43 1377
GAL10 87 2673
