gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 16 191
YAL068W-A 5 52
PAU8 1 0
YAL067W-A 1 0
SEO1 12 211
YAL066W 15 105
YAL065C 3 77
YAL064W-B 4 33
TDA8 13 88
YAL064W 4 6
YAL063C-A 3 2
FLO9 30 316
GDH3 93 2285
BDH2 37 417
BDH1 28 460
YAL059C-A 4 40
ECM1 6 46
CNE1 24 547
YAL056C-A 10 105
GPB2 35 405
PEX22 10 249
ACS1 61 986
FLC2 20 312
OAF1 27 401
AIM2 13 332
GEM1 16 183
YAL047W-A 11 41
SPC72 4 3
AIM1 8 184
YAL045C 8 48
YAL044W-A 8 33
GCV3 11 151
PTA1 3 23
YAL042C-A 8 124
ERV46 24 261
CDC24 3 11
CLN3 4 17
CYC3 113 5158
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 3 25
YAL037W 18 271
RBG1 23 372
FUN12 7 39
YAL034C-B 19 244
MTW1 7 37
FUN19 20 113
POP5 0 0
PRP45 18 250
YAL031W-A 7 54
GIP4 25 199
SNC1 7 30
MYO4 43 444
FRT2 18 122
SAW1 18 266
YAL026C-A 8 80
DRS2 25 128
MAK16 1 0
LTE1 12 73
PMT2 17 108
FUN26 31 288
CCR4 25 294
ATS1 25 1087
YAL019W-A 30 601
FUN30 26 284
LDS1 18 153
PSK1 37 572
YAL016C-B 9 39
YAL016C-A 7 125
TPD3 2 1
NTG1 33 1351
SYN8 17 330
DEP1 20 118
CYS3 1 0
SWC3 33 446
MDM10 4 10
SPO7 6 49
FUN14 17 147
ERP2 15 262
SSA1 71 1419
YAL004W 6 72
EFB1 1 0
VPS8 100 1969
TFC3 11 129
NUP60 55 1354
ERP1 37 991
SWD1 33 485
RFA1 0 0
SEN34 0 0
BUD14 43 931
ADE1 4 3
KIN3 20 75
CDC15 0 0
YAR019W-A 37 727
PAU7 6 68
YAR023C 22 209
UIP3 17 340
YAR028W 18 397
YAR029W 3 27
YAR030C 8 299
PRM9 15 366
MST28 12 172
YAT1 206 7838
YAR035C-A 7 39
SWH1 38 939
YAR047C 0 0
FLO1 28 458
YAR053W 1 0
YAR060C 0 0
YAR064W 5 22
YAR066W 0 0
YAR068W 2 1
YAR069C 0 0
YAR070C 2 1
PHO11 4 13
IMD1 1 0
YAR075W 0 0
YBL113C 13 48
YBL113W-A 1 0
YBL112C 1 0
YBL111C 8 10
YBL109W 15 151
PAU9 0 0
YBL108W 9 39
YBL107W-A 0 0
MIX23 7 75
SRO77 16 218
PKC1 0 0
SEA4 35 278
RTG3 7 53
SFT2 8 38
ECM21 16 289
YBL100W-C 4 14
YBL100C 0 0
ATP1 4 7
BNA4 17 305
BRN1 4 72
YBL096C 6 57
YBL095W 7 31
YBL094C 6 18
ROX3 1 0
RPL32 0 0
SCS22 11 94
MAP2 11 150
MRP21 3 7
AVT5 15 113
TEL1 37 358
RPL23A 8 42
YBL086C 6 8
BOI1 15 112
CDC27 2 1
YBL083C 2 9
ALG3 6 32
YBL081W 7 38
PET112 8 132
NUP170 17 292
ATG8 0 0
YBL077W 5 37
ILS1 0 0
SSA3 39 532
AAR2 11 399
YBL073W 11 103
RPS8A 2 1
YBL071C-B 3 2
KTI11 0 0
YBL071C 2 1
YBL070C 6 35
AST1 12 343
YBL068W-A 1 0
PRS4 8 222
UBP13 11 98
SEF1 25 186
YBL065W 7 46
PRX1 6 38
KIP1 28 343
YBL062W 2 8
SKT5 10 89
YEL1 24 681
CMC2 3 3
YBL059W 3 12
SHP1 10 108
PTH2 8 70
PTC3 11 191
YBL055C 17 402
TOD6 21 131
YBL053W 2 1
