gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 21 198
YAL068W-A 8 59
PAU8 1 0
YAL067W-A 7 20
SEO1 36 465
YAL066W 12 167
YAL065C 5 18
YAL064W-B 1 0
TDA8 4 22
YAL064W 6 19
YAL063C-A 14 158
FLO9 36 390
GDH3 97 1946
BDH2 53 1158
BDH1 46 777
YAL059C-A 6 21
ECM1 12 119
CNE1 48 778
YAL056C-A 14 264
GPB2 51 471
PEX22 25 309
ACS1 56 972
FLC2 46 794
OAF1 67 1608
AIM2 14 178
GEM1 6 47
YAL047W-A 13 110
SPC72 6 131
AIM1 5 110
YAL045C 11 68
YAL044W-A 12 88
GCV3 3 27
PTA1 2 3
YAL042C-A 15 161
ERV46 69 1475
CDC24 2 1
CLN3 14 77
CYC3 15 149
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 6 58
YAL037W 30 353
RBG1 35 587
FUN12 6 93
YAL034C-B 20 539
MTW1 15 81
FUN19 48 729
POP5 0 0
PRP45 22 223
YAL031W-A 11 128
GIP4 41 762
SNC1 17 205
MYO4 90 1806
FRT2 34 524
SAW1 25 241
YAL026C-A 16 71
DRS2 17 171
MAK16 1 0
LTE1 38 472
PMT2 14 106
FUN26 59 776
CCR4 11 240
ATS1 46 735
YAL019W-A 57 1491
FUN30 38 416
LDS1 37 471
PSK1 97 1760
YAL016C-B 15 60
YAL016C-A 9 76
TPD3 2 2
NTG1 55 1298
SYN8 26 457
DEP1 30 152
CYS3 2 1
SWC3 23 265
MDM10 0 0
SPO7 12 81
FUN14 40 921
ERP2 38 512
SSA1 68 1353
YAL004W 7 110
EFB1 0 0
VPS8 188 4395
TFC3 5 34
NUP60 119 1407
ERP1 60 985
SWD1 33 371
RFA1 3 16
SEN34 1 0
BUD14 89 1245
ADE1 0 0
KIN3 33 294
CDC15 4 6
YAR019W-A 48 1122
PAU7 8 85
YAR023C 44 943
UIP3 38 874
YAR028W 26 432
YAR029W 8 32
YAR030C 10 76
PRM9 22 379
MST28 22 179
YAT1 269 4820
YAR035C-A 15 134
SWH1 97 1982
YAR047C 0 0
FLO1 58 1010
YAR053W 3 7
YAR060C 2 1
YAR064W 8 74
YAR066W 0 0
YAR068W 1 0
YAR069C 0 0
YAR070C 0 0
PHO11 1 0
IMD1 1 0
YAR075W 0 0
YBL113C 13 26
YBL113W-A 3 2
YBL112C 0 0
YBL111C 17 17
YBL109W 23 227
PAU9 0 0
YBL108W 11 87
YBL107W-A 0 0
MIX23 19 262
SRO77 37 718
PKC1 2 1
SEA4 52 1321
RTG3 5 60
SFT2 18 110
ECM21 53 1094
YBL100W-C 8 59
YBL100C 0 0
ATP1 1 0
BNA4 27 419
BRN1 10 214
YBL096C 18 348
YBL095W 24 364
YBL094C 9 57
ROX3 2 9
RPL32 0 0
SCS22 14 211
MAP2 24 291
MRP21 0 0
AVT5 31 237
TEL1 79 1304
RPL23A 10 61
YBL086C 18 137
BOI1 53 661
CDC27 4 12
YBL083C 2 1
ALG3 6 21
YBL081W 6 33
PET112 0 0
NUP170 24 254
ATG8 2 2
YBL077W 11 266
ILS1 0 0
SSA3 75 1231
AAR2 26 379
YBL073W 25 512
RPS8A 4 10
YBL071C-B 2 3
KTI11 3 11
YBL071C 15 120
YBL070C 6 23
AST1 18 215
YBL068W-A 1 0
PRS4 8 57
UBP13 17 458
SEF1 29 394
YBL065W 12 129
PRX1 16 131
KIP1 85 1785
YBL062W 8 115
SKT5 26 401
YEL1 40 832
CMC2 0 0
YBL059W 12 103
SHP1 7 67
PTH2 23 446
PTC3 7 42
YBL055C 25 261
TOD6 27 396
YBL053W 6 69
SAS3 55 986
PIN4 16 82
SEC17 1 0
MOH1 5 6
RRT1 9 52
EDE1 30 503
PSY4 28 293
COR1 0 0
YBL044W 40 746
ECM13 12 215
FUI1 59 586
PRE7 1 0
ERD2 5 7
YBL039W-B 2 9
URA7 25 134
YBL039C-A 0 0
MRPL16 0 0
APL3 36 394
YBL036C 15 148
POL12 4 48
STU1 5 45
RIB1 3 2
HEK2 14 152
SHE1 22 346
PET9 0 0
YBL029C-A 10 46
YBL029W 52 1095
YBL028C 13 397
RPL19B 4 31
LSM2 0 0
RRN10 1 0
NCL1 51 835
MCM2 3 2
PIM1 2 1
HAP3 8 46
RFT1 1 0
APN2 67 1181
POP8 3 9
PEP1 64 1199
FUS3 103 2384
ACH1 66 1782
RRN6 9 120
FMT1 28 619
YBL012C 36 727
SCT1 88 1929
YBL010C 35 502
ALK2 90 1418
YBL008W-A 22 146
HIR1 82 1315
SLA1 32 419
LDB7 31 445
YBL006W-A 16 198
PDR3 131 2446
UTP20 2 1
HTA2 42 451
HTB2 63 1315
ECM15 45 1574
NTH2 227 5135
RER2 24 409
COQ1 14 184
GPI18 0 0
RCR1 84 1710
UGA2 122 3127
DSF2 212 6183
FLR1 109 1824
HHF1 2 4
HHT1 16 84
IPP1 1 0
YBR012C 0 0
YBR013C 3 11
GRX7 20 223
MNN2 33 306
YBR016W 28 251
KAP104 10 72
GAL7 3 2
GAL10 9 51
GAL1 25 302
FUR4 52 501
POA1 31 453
CHS3 33 272
SCO2 27 206
OLA1 11 111
ETR1 3 2
YBR027C 30 373
YPK3 34 420
CDS1 8 17
RKM3 26 216
RPL4A 8 62
YBR032W 36 480
EDS1 82 1258
HMT1 12 163
PDX3 2 2
CSG2 5 63
SCO1 4 9
CHS2 3 2
ATP3 0 0
FIG1 9 41
FAT1 9 21
CST26 24 341
QDR3 41 406
TCM62 13 204
GIP1 32 426
ZTA1 24 166
FMP23 10 148
RPS11B 5 10
REB1 0 0
REG2 30 247
YBR051W 9 15
RFS1 13 106
YBR053C 27 351
YRO2 20 297
PRP6 14 134
YBR056W 5 84
YBR056W-A 5 24
YBR056C-B 4 19
MUM2 15 220
UBP14 4 12
TSC3 1 0
AKL1 34 437
ORC2 5 11
TRM7 7 14
YBR062C 8 79
YBR063C 14 380
YBR064W 4 23
ECM2 19 146
NRG2 18 256
TIP1 6 41
BAP2 20 123
TAT1 15 295
ALG14 1 0
YBR071W 24 370
HSP26 12 123
YBR072C-A 8 25
RDH54 32 577
PFF1 44 500
ECM8 33 598
YBR076C-A 19 173
SLM4 9 35
ECM33 6 60
RPG1 11 30
SEC18 2 2
SPT7 6 13
UBC4 7 15
TEC1 27 273
MIS1 15 172
RPL19A 11 138
AAC3 7 33
YBR085C-A 4 32
IST2 16 154
RFC5 2 1
POL30 1 0
YBR089W 1 0
NHP6B 12 77
YBR090C 30 139
TIM12 0 0
PHO3 11 58
PHO5 13 261
PBY1 29 543
RXT2 8 45
YBR096W 3 5
VPS15 8 59
MMS4 28 325
YBR099C 11 68
FES1 0 0
EXO84 8 41
SIF2 11 201
YBR103C-A 17 239
YMC2 37 581
VID24 10 131
PHO88 2 3
IML3 3 20
AIM3 34 420
CMD1 0 0
YBR109W-A 16 306
ALG1 2 1
YSA1 12 71
SUS1 2 1
CYC8 7 39
YBR113W 9 17
RAD16 28 386
LYS2 24 413
YBR116C 20 310
TKL2 32 663
TEF2 0 0
MUD1 11 94
CBP6 2 1
GRS1 0 0
YBR121C-A 0 0
MRPL36 3 9
TFC1 7 30
YBR124W 9 140
PTC4 19 526
TPS1 5 32
