gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 13 70
YAL068W-A 6 12
PAU8 1 0
YAL067W-A 5 5
SEO1 22 242
YAL066W 8 72
YAL065C 2 1
YAL064W-B 0 0
TDA8 4 7
YAL064W 5 12
YAL063C-A 11 89
FLO9 18 144
GDH3 57 1189
BDH2 30 192
BDH1 26 343
YAL059C-A 2 8
ECM1 4 14
CNE1 26 240
YAL056C-A 5 28
GPB2 33 283
PEX22 9 76
ACS1 33 371
FLC2 31 508
OAF1 49 1031
AIM2 12 130
GEM1 4 4
YAL047W-A 10 51
SPC72 2 1
AIM1 2 17
YAL045C 8 15
YAL044W-A 10 21
GCV3 1 0
PTA1 2 3
YAL042C-A 11 96
ERV46 39 819
CDC24 1 0
CLN3 9 28
CYC3 12 102
CDC19 0 0
YAL037C-B 0 0
YAL037C-A 3 48
YAL037W 30 353
RBG1 29 366
FUN12 2 8
YAL034C-B 16 297
MTW1 11 28
FUN19 31 303
POP5 0 0
PRP45 16 177
YAL031W-A 7 71
GIP4 32 641
SNC1 13 78
MYO4 62 1078
FRT2 28 318
SAW1 19 152
YAL026C-A 12 57
DRS2 11 89
MAK16 1 0
LTE1 27 253
PMT2 9 62
FUN26 31 262
CCR4 7 66
ATS1 26 289
YAL019W-A 34 746
FUN30 25 228
LDS1 20 212
PSK1 69 1112
YAL016C-B 11 42
YAL016C-A 7 60
TPD3 2 1
NTG1 41 837
SYN8 18 141
DEP1 23 113
CYS3 2 1
SWC3 15 150
MDM10 0 0
SPO7 9 65
FUN14 12 147
ERP2 27 229
SSA1 46 569
YAL004W 5 40
EFB1 0 0
VPS8 126 2701
TFC3 2 24
NUP60 93 1062
ERP1 45 477
SWD1 27 249
RFA1 1 0
SEN34 1 0
BUD14 58 625
ADE1 0 0
KIN3 14 47
CDC15 2 2
YAR019W-A 31 399
PAU7 2 5
YAR023C 31 321
UIP3 22 394
YAR028W 19 146
YAR029W 6 21
YAR030C 10 52
PRM9 10 71
MST28 14 77
YAT1 195 2333
YAR035C-A 12 88
SWH1 61 1163
YAR047C 0 0
FLO1 26 214
YAR053W 1 0
YAR060C 1 0
YAR064W 5 47
YAR066W 0 0
YAR068W 1 0
YAR069C 0 0
YAR070C 0 0
PHO11 1 0
IMD1 1 0
YAR075W 0 0
YBL113C 5 4
YBL113W-A 2 1
YBL112C 0 0
YBL111C 6 5
YBL109W 20 150
PAU9 0 0
YBL108W 7 11
YBL107W-A 0 0
MIX23 13 136
SRO77 24 426
PKC1 2 1
SEA4 30 648
RTG3 2 2
SFT2 10 20
ECM21 32 586
YBL100W-C 4 19
YBL100C 0 0
ATP1 1 0
BNA4 17 177
BRN1 5 31
YBL096C 14 313
YBL095W 18 263
YBL094C 5 15
ROX3 1 0
RPL32 0 0
SCS22 8 86
MAP2 16 218
MRP21 0 0
AVT5 22 153
TEL1 55 695
RPL23A 5 11
YBL086C 11 55
BOI1 38 295
CDC27 0 0
YBL083C 1 0
ALG3 5 12
YBL081W 5 14
PET112 0 0
NUP170 17 95
ATG8 1 0
YBL077W 8 90
ILS1 0 0
SSA3 56 826
AAR2 21 252
YBL073W 7 87
RPS8A 1 0
YBL071C-B 1 0
KTI11 2 1
YBL071C 8 49
YBL070C 1 0
AST1 14 140
YBL068W-A 1 0
PRS4 2 4
UBP13 11 194
SEF1 19 123
YBL065W 5 30
PRX1 13 97
KIP1 46 973
YBL062W 3 5
SKT5 10 43
YEL1 22 398
CMC2 0 0
YBL059W 2 1
SHP1 5 57
PTH2 9 90
PTC3 5 21
YBL055C 17 80
TOD6 18 259
YBL053W 2 7
SAS3 38 657
PIN4 10 34
SEC17 1 0
MOH1 4 5
RRT1 8 34
EDE1 26 458
PSY4 18 101
COR1 0 0
YBL044W 21 195
ECM13 4 30
FUI1 39 321
PRE7 1 0
ERD2 4 5
YBL039W-B 1 0
URA7 15 74
YBL039C-A 0 0
MRPL16 0 0
APL3 26 260
YBL036C 13 67
POL12 3 16
STU1 2 1
RIB1 1 0
HEK2 8 41
SHE1 14 271
PET9 0 0
YBL029C-A 9 40
YBL029W 30 314
YBL028C 8 150
RPL19B 4 31
LSM2 0 0
RRN10 1 0
NCL1 32 464
MCM2 2 1
PIM1 1 0
HAP3 5 32
RFT1 1 0
APN2 41 548
POP8 3 9
PEP1 34 376
FUS3 77 1078
ACH1 50 838
RRN6 8 114
FMT1 17 190
YBL012C 22 225
SCT1 64 798
YBL010C 24 224
ALK2 56 909
YBL008W-A 18 65
HIR1 55 864
SLA1 13 29
LDB7 14 59
YBL006W-A 6 11
PDR3 93 925
UTP20 1 0
HTA2 34 320
HTB2 42 720
ECM15 35 1175
NTH2 155 2659
RER2 13 63
COQ1 8 140
GPI18 0 0
RCR1 55 944
UGA2 76 1194
DSF2 152 2809
FLR1 78 755
HHF1 2 3
HHT1 14 79
IPP1 0 0
YBR012C 0 0
YBR013C 1 0
GRX7 11 60
MNN2 16 74
YBR016W 16 27
KAP104 5 16
GAL7 2 1
GAL10 4 25
GAL1 18 234
FUR4 26 241
POA1 19 159
CHS3 20 162
SCO2 18 122
OLA1 5 22
ETR1 2 1
YBR027C 20 43
YPK3 31 365
CDS1 5 9
RKM3 13 24
RPL4A 7 29
YBR032W 27 183
EDS1 49 339
HMT1 9 108
PDX3 2 2
CSG2 4 21
SCO1 3 3
CHS2 1 0
ATP3 0 0
FIG1 3 3
FAT1 3 3
CST26 21 264
QDR3 22 148
TCM62 7 180
GIP1 24 232
ZTA1 15 119
FMP23 2 21
RPS11B 4 8
REB1 0 0
REG2 18 177
YBR051W 4 5
RFS1 0 0
YBR053C 18 291
YRO2 11 175
PRP6 8 58
YBR056W 2 1
YBR056W-A 4 11
YBR056C-B 3 6
MUM2 11 134
UBP14 2 10
TSC3 0 0
AKL1 25 180
ORC2 2 1
TRM7 3 2
YBR062C 7 59
YBR063C 11 151
YBR064W 2 1
ECM2 14 67
NRG2 9 40
TIP1 3 3
BAP2 16 82
TAT1 8 62
ALG14 1 0
YBR071W 19 204
HSP26 9 41
YBR072C-A 5 19
RDH54 21 333
PFF1 29 243
ECM8 22 278
YBR076C-A 8 74
SLM4 7 12
ECM33 1 0
RPG1 4 7
SEC18 1 0
SPT7 3 3
UBC4 5 8
TEC1 11 76
MIS1 8 43
RPL19A 7 62
AAC3 3 9
YBR085C-A 2 1
IST2 10 43
RFC5 2 1
POL30 1 0
YBR089W 1 0
NHP6B 8 43
YBR090C 23 78
TIM12 0 0
PHO3 5 11
PHO5 6 37
PBY1 21 165
RXT2 7 39
YBR096W 2 3
VPS15 3 5
MMS4 14 73
YBR099C 7 21
FES1 0 0
EXO84 4 4
SIF2 5 19
YBR103C-A 13 162
YMC2 27 344
VID24 7 68
PHO88 2 3
IML3 1 0
AIM3 22 192
CMD1 0 0
YBR109W-A 14 297
ALG1 2 1
YSA1 8 51
SUS1 1 0
CYC8 1 0
YBR113W 5 11
RAD16 16 152
LYS2 17 320
YBR116C 10 41
TKL2 14 158
TEF2 0 0
MUD1 9 83
CBP6 2 1
GRS1 0 0
YBR121C-A 0 0
MRPL36 2 4
TFC1 5 27
YBR124W 6 48
PTC4 15 251
TPS1 5 32
YBR126W-A 12 66
YBR126W-B 10 61
VMA2 4 30
ATG14 5 14
OPY1 4 3
SHE3 5 16
CCZ1 2 1
YBR131C-A 0 0
AGP2 14 41
HSL7 4 26
YBR134W 8 209
CKS1 2 4
MEC1 3 4
YBR137W 9 127
YBR138C 10 81
YBR139W 13 59
IRA1 4 5
BMT2 19 187
YBR141W-A 1 0
MAK5 3 2
SUP45 0 0
YBR144C 16 103
ADH5 12 136
MRPS9 1 0
RTC2 5 23
YSW1 33 265
ARA1 4 18
TBS1 26 320
APD1 7 68
SPP381 7 106
RIB7 1 0
RPB5 0 0
CNS1 1 0
SLI15 5 8
ICS2 8 65
AMN1 12 129
IFA38 1 0
CDC28 0 0
CSH1 2 2
TOS1 10 75
YSY6 1 0
EXO5 2 1
ARL1 0 0
UBS1 0 0
TYR1 7 30
POP7 0 0
PEX32 7 66
SSE2 12 75
NPL4 5 90
SEC66 3 2
SMY2 11 30
UMP1 1 0
YBR174C 5 20
SWD3 4 10
ECM31 1 0
EHT1 10 134
YBR178W 12 70
FZO1 2 1
DTR1 9 34
RPS6B 1 0
SMP1 7 46
YBR182C-A 2 1
YPC1 9 30
YBR184W 8 104
MBA1 1 0
PCH2 29 347
GDT1 3 4
NTC20 2 1
RPS9B 1 0
YBR190W 0 0
RPL21A 1 0
YBR191W-A 0 0
RIM2 0 0
MED8 1 0
AIM4 3 79
MSI1 4 5
PGI1 0 0
YBR196C-A 10 50
YBR196C-B 9 149
YBR197C 43 647
TAF5 0 0
KTR4 3 5
BEM1 3 21
YBR200W-A 2 3
DER1 4 15
YBR201C-A 1 0
MCM7 11 135
COS111 18 201
LDH1 14 195
KTR3 12 80
YBR206W 5 8
FTH1 7 54
DUR1,2 46 379
YBR209W 17 100
ERV15 5 9
AME1 0 0
NGR1 10 32
MET8 17 136
SDS24 16 104
HPC2 12 100
YBP1 12 126
ATG12 1 0
PYC2 25 352
YBR219C 22 212
YBR220C 16 106
PDB1 2 9
YBR221W-A 13 85
PCS60 30 192
TDP1 22 81
YBR223W-A 3 5
YBR224W 12 83
YBR225W 11 58
YBR226C 1 0
MCX1 6 13
SLX1 5 67
ROT2 23 640
OM14 4 8
YBR230W-A 3 7
SWC5 2 2
YBR232C 5 4
PBP2 13 61
DAD3 0 0
ARC40 0 0
VHC1 20 106
ABD1 0 0
PRP5 0 0
YBR238C 14 78
ERT1 31 410
THI2 13 161
YBR241C 37 759
YBR242W 9 219
ALG7 0 0
GPX2 3 2
ISW1 29 172
RRT2 6 30
ENP1 1 0
HIS7 10 47
ARO4 5 23
SPO23 10 25
MRPS5 0 0
DUT1 0 0
SRB6 3 2
TRS20 0 0
MTC4 12 89
YBR255C-A 1 0
RIB5 2 3
POP4 2 1
SHG1 3 4
YBR259W 14 61
RGD1 12 152
TAE1 8 40
MIC12 1 0
SHM1 14 55
YPT10 4 5
TSC10 2 4
REI1 3 2
SLM6 1 0
MRPL37 0 0
SDH8 5 12
BIT2 17 113
EFM2 18 101
HSM3 3 3
UBX7 9 27
CHK1 13 177
RIF1 35 439
PPS1 23 293
YBR277C 7 76
DPB3 8 87
