gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 12 148
YAL068W-A 1 0
PAU8 0 0
YAL067W-A 4 25
SEO1 10 29
YAL066W 2 7
YAL065C 0 0
YAL064W-B 1 0
TDA8 3 4
YAL064W 4 15
YAL063C-A 8 193
FLO9 19 324
GDH3 57 1408
BDH2 29 1242
BDH1 13 347
YAL059C-A 6 20
ECM1 9 65
CNE1 17 278
YAL056C-A 7 56
GPB2 23 739
PEX22 8 28
ACS1 22 248
FLC2 21 296
OAF1 30 375
AIM2 7 33
GEM1 21 225
YAL047W-A 7 159
SPC72 11 22
AIM1 11 205
YAL045C 1 0
YAL044W-A 1 0
GCV3 6 39
PTA1 19 55
YAL042C-A 9 72
ERV46 39 363
CDC24 12 24
CLN3 14 148
CYC3 38 1143
CDC19 10 17
YAL037C-B 2 1
YAL037C-A 4 45
YAL037W 12 172
RBG1 11 355
FUN12 6 20
YAL034C-B 13 314
MTW1 5 13
FUN19 25 419
POP5 0 0
PRP45 9 20
YAL031W-A 4 14
GIP4 25 156
SNC1 11 313
MYO4 29 768
FRT2 17 317
SAW1 21 292
YAL026C-A 7 71
DRS2 38 900
MAK16 0 0
LTE1 29 218
PMT2 31 188
FUN26 32 672
CCR4 19 146
ATS1 19 395
YAL019W-A 26 771
FUN30 18 286
LDS1 9 173
PSK1 48 1048
YAL016C-B 5 83
YAL016C-A 9 319
TPD3 6 6
NTG1 36 582
SYN8 11 171
DEP1 16 90
CYS3 10 37
SWC3 9 45
MDM10 14 39
SPO7 2 1
FUN14 7 160
ERP2 19 464
SSA1 39 645
YAL004W 5 14
EFB1 0 0
VPS8 106 2728
TFC3 22 116
NUP60 37 1003
ERP1 42 810
SWD1 32 328
RFA1 1 0
SEN34 9 22
BUD14 31 921
ADE1 14 241
KIN3 19 211
CDC15 21 92
YAR019W-A 16 561
PAU7 2 4
YAR023C 9 88
UIP3 4 39
YAR028W 13 363
YAR029W 1 0
YAR030C 1 0
PRM9 6 24
MST28 8 165
YAT1 75 1622
YAR035C-A 2 2
SWH1 50 860
YAR047C 0 0
FLO1 25 758
YAR053W 1 0
YAR060C 0 0
YAR064W 4 28
YAR066W 0 0
YAR068W 0 0
YAR069C 1 0
YAR070C 0 0
PHO11 1 0
IMD1 1 0
YAR075W 0 0
YBL113C 10 17
YBL113W-A 2 1
YBL112C 2 1
YBL111C 10 9
YBL109W 13 427
PAU9 0 0
YBL108W 13 683
YBL107W-A 0 0
MIX23 10 52
SRO77 29 705
PKC1 16 63
SEA4 42 239
RTG3 6 41
SFT2 4 108
ECM21 26 237
YBL100W-C 3 21
YBL100C 1 0
ATP1 9 18
BNA4 22 298
BRN1 16 58
YBL096C 10 50
YBL095W 11 90
YBL094C 2 2
ROX3 10 24
RPL32 2 1
SCS22 6 74
MAP2 12 59
MRP21 14 173
AVT5 12 59
TEL1 73 1572
RPL23A 6 42
YBL086C 3 13
BOI1 18 375
CDC27 4 4
YBL083C 2 5
ALG3 14 198
YBL081W 1 0
PET112 14 74
NUP170 36 480
ATG8 1 0
YBL077W 6 45
ILS1 6 10
SSA3 29 282
AAR2 8 19
YBL073W 6 31
RPS8A 2 1
YBL071C-B 0 0
KTI11 1 0
YBL071C 7 10
YBL070C 6 13
AST1 23 93
YBL068W-A 1 0
PRS4 13 181
UBP13 5 23
SEF1 35 594
YBL065W 3 3
PRX1 12 96
KIP1 31 420
YBL062W 2 1
SKT5 8 23
YEL1 18 116
CMC2 0 0
YBL059W 2 2
SHP1 13 55
PTH2 11 59
PTC3 7 71
YBL055C 18 284
TOD6 10 110
YBL053W 4 21
SAS3 15 153
PIN4 20 555
SEC17 3 4
MOH1 5 5
RRT1 1 0
EDE1 39 773
PSY4 10 46
COR1 4 13
YBL044W 20 757
ECM13 3 91
FUI1 23 348
PRE7 4 5
ERD2 9 24
YBL039W-B 3 25
URA7 7 24
YBL039C-A 0 0
MRPL16 16 544
APL3 48 869
YBL036C 13 181
POL12 16 53
STU1 19 67
RIB1 6 14
HEK2 26 259
SHE1 19 198
PET9 3 4
YBL029C-A 4 10
YBL029W 27 1073
YBL028C 14 277
RPL19B 2 1
LSM2 0 0
RRN10 0 0
NCL1 13 172
MCM2 11 32
PIM1 25 306
HAP3 9 73
RFT1 14 42
APN2 15 214
POP8 3 2
PEP1 55 1667
FUS3 28 316
ACH1 23 138
RRN6 28 146
FMT1 95 4528
YBL012C 12 209
SCT1 35 456
YBL010C 18 431
ALK2 37 705
YBL008W-A 7 48
HIR1 26 343
SLA1 25 845
LDB7 6 47
YBL006W-A 3 6
PDR3 34 883
UTP20 14 48
HTA2 14 494
HTB2 15 366
ECM15 30 780
NTH2 86 2222
RER2 12 641
COQ1 30 813
GPI18 7 24
RCR1 22 834
UGA2 55 1599
DSF2 46 800
FLR1 50 613
HHF1 2 2
HHT1 7 12
IPP1 4 3
YBR012C 0 0
YBR013C 0 0
GRX7 7 149
MNN2 21 393
YBR016W 13 208
KAP104 7 20
GAL7 21 254
GAL10 87 2375
GAL1 42 561
FUR4 30 1306
POA1 19 152
CHS3 15 148
SCO2 10 237
OLA1 10 66
ETR1 4 9
YBR027C 9 192
YPK3 7 54
CDS1 3 6
RKM3 12 71
RPL4A 0 0
YBR032W 11 337
EDS1 26 692
HMT1 26 56
PDX3 13 37
CSG2 8 141
SCO1 9 112
CHS2 23 52
ATP3 11 32
FIG1 4 7
FAT1 5 22
CST26 9 61
QDR3 12 113
TCM62 12 149
GIP1 16 202
ZTA1 8 92
FMP23 12 171
RPS11B 6 14
REB1 29 101
REG2 18 294
YBR051W 4 45
RFS1 12 254
YBR053C 7 21
YRO2 12 225
PRP6 19 117
YBR056W 9 133
YBR056W-A 1 0
YBR056C-B 1 0
MUM2 3 9
UBP14 12 75
TSC3 0 0
AKL1 34 468
ORC2 9 46
TRM7 18 226
YBR062C 1 0
YBR063C 10 69
YBR064W 3 2
ECM2 10 17
NRG2 10 40
TIP1 4 3
BAP2 23 702
TAT1 12 207
ALG14 1 0
YBR071W 8 123
HSP26 4 13
YBR072C-A 7 17
RDH54 13 160
PFF1 22 237
ECM8 9 187
YBR076C-A 9 25
SLM4 3 4
ECM33 12 73
RPG1 38 159
SEC18 5 7
SPT7 30 117
UBC4 15 63
TEC1 9 69
MIS1 16 511
RPL19A 1 0
AAC3 6 73
YBR085C-A 2 3
IST2 12 66
RFC5 6 11
POL30 4 4
YBR089W 4 4
NHP6B 6 136
YBR090C 16 234
TIM12 0 0
PHO3 4 87
PHO5 4 27
PBY1 24 128
RXT2 8 36
YBR096W 2 1
VPS15 12 124
MMS4 23 72
YBR099C 2 1
FES1 3 8
EXO84 23 65
SIF2 2 2
YBR103C-A 3 27
YMC2 6 131
VID24 12 33
PHO88 1 0
IML3 1 0
AIM3 6 114
CMD1 0 0
YBR109W-A 2 1
ALG1 3 4
YSA1 4 4
SUS1 1 0
CYC8 3 3
YBR113W 2 1
RAD16 21 193
LYS2 22 93
YBR116C 6 63
TKL2 17 189
TEF2 1 0
MUD1 6 176
CBP6 2 6
GRS1 0 0
YBR121C-A 0 0
MRPL36 8 30
TFC1 10 46
YBR124W 5 13
PTC4 11 54
TPS1 17 164
YBR126W-A 1 0
YBR126W-B 1 0
VMA2 1 0
ATG14 10 50
OPY1 4 19
SHE3 2 1
CCZ1 13 46
YBR131C-A 2 1
AGP2 13 171
HSL7 32 213
YBR134W 7 243
CKS1 0 0
MEC1 31 132
YBR137W 1 0
YBR138C 10 37
YBR139W 12 54
IRA1 47 1109
BMT2 10 89
YBR141W-A 0 0
MAK5 18 51
SUP45 2 1
YBR144C 13 815
ADH5 5 16
MRPS9 9 36
RTC2 3 3
YSW1 8 19
ARA1 10 58
TBS1 25 82
APD1 3 16
SPP381 8 29
RIB7 2 1
RPB5 0 0
CNS1 0 0
SLI15 10 33
ICS2 5 39
AMN1 5 12
IFA38 7 11
CDC28 3 9
CSH1 3 9
TOS1 8 218
YSY6 0 0
EXO5 13 135
ARL1 5 22
UBS1 2 1
TYR1 7 19
POP7 5 14
PEX32 2 5
SSE2 15 84
NPL4 12 51
SEC66 6 22
SMY2 2 9
UMP1 3 2
YBR174C 5 27
SWD3 5 11
ECM31 2 1
EHT1 13 18
YBR178W 10 121
FZO1 19 71
DTR1 2 3
RPS6B 0 0
SMP1 7 90
YBR182C-A 0 0
YPC1 2 1
YBR184W 6 33
MBA1 2 3
