gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 10 167
YAL068W-A 2 1
PAU8 0 0
YAL067W-A 2 5
SEO1 12 79
YAL066W 3 118
YAL065C 0 0
YAL064W-B 2 1
TDA8 6 86
YAL064W 3 5
YAL063C-A 5 70
FLO9 20 249
GDH3 58 803
BDH2 27 889
BDH1 17 309
YAL059C-A 4 32
ECM1 9 85
CNE1 14 81
YAL056C-A 7 55
GPB2 18 266
PEX22 7 9
ACS1 22 242
FLC2 23 468
OAF1 33 390
AIM2 3 9
GEM1 21 166
YAL047W-A 8 66
SPC72 6 12
AIM1 6 25
YAL045C 0 0
YAL044W-A 0 0
GCV3 7 14
PTA1 19 53
YAL042C-A 6 58
ERV46 33 356
CDC24 15 36
CLN3 14 138
CYC3 38 875
CDC19 7 13
YAL037C-B 3 2
YAL037C-A 3 25
YAL037W 10 147
RBG1 13 86
FUN12 8 9
YAL034C-B 10 110
MTW1 9 32
FUN19 21 375
POP5 0 0
PRP45 9 20
YAL031W-A 5 9
GIP4 28 233
SNC1 8 211
MYO4 29 699
FRT2 14 94
SAW1 15 194
YAL026C-A 9 47
DRS2 26 345
MAK16 0 0
LTE1 18 93
PMT2 27 146
FUN26 27 739
CCR4 17 128
ATS1 22 173
YAL019W-A 23 381
FUN30 24 188
LDS1 7 20
PSK1 62 875
YAL016C-B 7 52
YAL016C-A 4 79
TPD3 7 16
NTG1 41 404
SYN8 10 169
DEP1 11 88
CYS3 12 22
SWC3 9 29
MDM10 8 25
SPO7 4 15
FUN14 5 33
ERP2 13 95
SSA1 35 400
YAL004W 3 2
EFB1 0 0
VPS8 105 2053
TFC3 17 87
NUP60 33 645
ERP1 32 833
SWD1 21 309
RFA1 3 6
SEN34 9 12
BUD14 25 448
ADE1 15 319
KIN3 15 73
CDC15 18 45
YAR019W-A 16 527
PAU7 3 39
YAR023C 8 44
UIP3 15 178
YAR028W 22 434
YAR029W 0 0
YAR030C 1 0
PRM9 13 28
MST28 13 249
YAT1 92 1152
YAR035C-A 3 66
SWH1 44 650
YAR047C 0 0
FLO1 24 572
YAR053W 0 0
YAR060C 1 0
YAR064W 4 18
YAR066W 0 0
YAR068W 1 0
YAR069C 0 0
YAR070C 2 1
PHO11 0 0
IMD1 2 1
YAR075W 0 0
YBL113C 10 27
YBL113W-A 2 2
YBL112C 2 1
YBL111C 10 9
YBL109W 16 180
PAU9 0 0
YBL108W 11 411
YBL107W-A 1 0
MIX23 7 13
SRO77 30 713
PKC1 17 58
SEA4 37 187
RTG3 6 67
SFT2 3 17
ECM21 43 310
YBL100W-C 3 15
YBL100C 0 0
ATP1 13 27
BNA4 16 72
BRN1 17 51
YBL096C 10 64
YBL095W 10 101
YBL094C 1 0
ROX3 9 11
RPL32 0 0
SCS22 9 29
MAP2 17 41
MRP21 8 44
AVT5 15 72
TEL1 56 676
RPL23A 12 54
YBL086C 2 11
BOI1 14 77
CDC27 6 8
YBL083C 1 0
ALG3 12 50
YBL081W 1 0
PET112 23 90
NUP170 35 232
ATG8 1 0
YBL077W 8 104
ILS1 10 12
SSA3 28 208
AAR2 8 15
YBL073W 11 42
RPS8A 3 4
YBL071C-B 1 0
KTI11 1 0
YBL071C 3 6
YBL070C 6 9
AST1 34 177
YBL068W-A 3 4
PRS4 8 147
UBP13 8 44
SEF1 28 295
YBL065W 3 15
PRX1 11 65
KIP1 36 431
YBL062W 1 0
SKT5 9 43
YEL1 22 268
CMC2 0 0
YBL059W 8 51
SHP1 9 20
PTH2 6 93
PTC3 12 99
YBL055C 18 287
TOD6 6 30
YBL053W 3 8
SAS3 13 126
PIN4 14 281
SEC17 7 14
