gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 21 289
YAL068W-A 7 130
PAU8 3 2
YAL067W-A 0 0
SEO1 14 155
YAL066W 3 2
YAL065C 3 2
YAL064W-B 2 1
TDA8 2 1
YAL064W 5 9
YAL063C-A 3 22
FLO9 36 1195
GDH3 60 1782
BDH2 50 1416
BDH1 23 617
YAL059C-A 2 2
ECM1 4 5
CNE1 31 1243
YAL056C-A 6 73
GPB2 52 2253
PEX22 12 96
ACS1 42 537
FLC2 17 87
OAF1 30 697
AIM2 12 348
GEM1 15 136
YAL047W-A 12 135
SPC72 8 28
AIM1 4 18
YAL045C 3 18
YAL044W-A 3 41
GCV3 3 30
PTA1 10 19
YAL042C-A 6 63
ERV46 28 730
CDC24 11 36
CLN3 16 167
CYC3 63 1026
CDC19 7 27
YAL037C-B 1 0
YAL037C-A 4 111
YAL037W 10 54
RBG1 17 277
FUN12 7 8
YAL034C-B 23 513
MTW1 5 16
FUN19 26 578
POP5 0 0
PRP45 19 219
YAL031W-A 3 6
GIP4 18 94
SNC1 17 305
MYO4 44 1081
FRT2 31 629
SAW1 20 246
YAL026C-A 7 38
DRS2 29 277
MAK16 0 0
LTE1 12 64
PMT2 31 321
FUN26 27 504
CCR4 19 160
ATS1 24 368
YAL019W-A 29 517
FUN30 33 421
LDS1 20 354
PSK1 46 615
YAL016C-B 7 46
YAL016C-A 5 163
TPD3 8 24
NTG1 47 529
SYN8 17 403
DEP1 20 166
CYS3 5 8
SWC3 13 42
MDM10 2 18
SPO7 6 10
FUN14 11 112
ERP2 16 570
SSA1 28 342
YAL004W 6 83
EFB1 1 0
VPS8 141 3929
TFC3 19 288
NUP60 54 546
ERP1 31 409
SWD1 41 515
RFA1 2 11
SEN34 5 21
BUD14 27 306
ADE1 7 96
KIN3 15 154
CDC15 9 27
YAR019W-A 32 678
PAU7 3 3
YAR023C 16 187
UIP3 12 98
YAR028W 17 409
YAR029W 3 18
YAR030C 5 119
PRM9 15 250
MST28 27 479
YAT1 152 2529
YAR035C-A 3 3
SWH1 41 560
YAR047C 1 0
FLO1 45 574
YAR053W 0 0
YAR060C 0 0
YAR064W 6 13
YAR066W 0 0
YAR068W 3 3
YAR069C 0 0
YAR070C 4 18
PHO11 3 5
IMD1 2 1
YAR075W 1 0
YBL113C 14 99
YBL113W-A 3 32
YBL112C 1 0
YBL111C 6 5
YBL109W 13 188
PAU9 0 0
YBL108W 14 188
YBL107W-A 0 0
MIX23 9 76
SRO77 24 482
PKC1 10 25
SEA4 46 957
RTG3 8 97
SFT2 3 23
ECM21 35 518
YBL100W-C 4 17
YBL100C 0 0
ATP1 3 8
BNA4 20 283
BRN1 11 46
YBL096C 10 110
YBL095W 7 58
YBL094C 0 0
ROX3 5 19
RPL32 2 1
SCS22 10 149
MAP2 11 35
MRP21 8 19
AVT5 11 77
TEL1 59 777
RPL23A 2 1
YBL086C 9 77
BOI1 9 68
CDC27 5 10
YBL083C 1 0
ALG3 11 99
YBL081W 7 15
PET112 18 229
NUP170 30 332
ATG8 1 0
YBL077W 6 73
ILS1 5 31
SSA3 16 317
AAR2 11 33
YBL073W 8 259
RPS8A 0 0
YBL071C-B 0 0
KTI11 1 0
YBL071C 3 6
YBL070C 3 9
AST1 18 214
YBL068W-A 2 6
PRS4 10 129
UBP13 12 34
SEF1 25 349
YBL065W 8 50
PRX1 19 233
KIP1 37 542
YBL062W 5 13
SKT5 16 61
YEL1 17 209
CMC2 0 0
YBL059W 8 63
SHP1 8 16
PTH2 4 58
PTC3 5 24
YBL055C 22 475
TOD6 14 136
YBL053W 8 191
SAS3 27 472
PIN4 24 297
SEC17 5 19
MOH1 2 4
RRT1 4 4
EDE1 33 385
PSY4 19 329
COR1 11 108
YBL044W 17 386
ECM13 6 85
FUI1 17 187
PRE7 3 23
ERD2 6 63
YBL039W-B 0 0
URA7 9 63
YBL039C-A 1 0
MRPL16 18 438
APL3 23 134
YBL036C 4 25
POL12 13 50
STU1 12 174
RIB1 2 1
HEK2 16 167
SHE1 15 117
PET9 1 0
YBL029C-A 9 35
YBL029W 39 948
YBL028C 6 63
RPL19B 0 0
LSM2 1 0
RRN10 0 0
NCL1 25 804
MCM2 7 13
PIM1 36 343
HAP3 0 0
RFT1 7 14
APN2 19 215
POP8 4 25
PEP1 59 1530
FUS3 33 302
ACH1 29 493
RRN6 19 131
FMT1 97 1976
YBL012C 7 52
SCT1 23 312
YBL010C 12 165
ALK2 45 664
YBL008W-A 11 75
HIR1 32 393
SLA1 22 289
LDB7 11 132
YBL006W-A 4 9
PDR3 46 866
UTP20 14 33
HTA2 19 158
HTB2 29 378
ECM15 32 695
NTH2 97 1788
RER2 13 238
COQ1 31 652
GPI18 1 0
RCR1 35 821
UGA2 65 2005
DSF2 38 741
FLR1 49 997
HHF1 2 1
HHT1 8 44
IPP1 3 9
YBR012C 0 0
YBR013C 0 0
GRX7 7 53
MNN2 26 526
YBR016W 11 77
KAP104 5 25
GAL7 33 509
GAL10 86 1225
GAL1 30 253
FUR4 19 144
POA1 12 86
CHS3 23 449
SCO2 13 105
OLA1 12 99
ETR1 2 2
YBR027C 11 239
YPK3 9 126
CDS1 2 2
RKM3 20 106
RPL4A 0 0
YBR032W 15 259
EDS1 36 765
HMT1 21 332
PDX3 4 26
CSG2 10 94
SCO1 11 96
CHS2 7 13
ATP3 4 6
FIG1 4 6
FAT1 2 1
CST26 9 77
QDR3 21 350
TCM62 14 185
GIP1 15 274
ZTA1 14 183
FMP23 11 329
RPS11B 2 1
REB1 10 48
REG2 15 171
YBR051W 7 62
RFS1 15 131
YBR053C 12 129
YRO2 15 307
PRP6 17 54
YBR056W 14 177
YBR056W-A 2 2
YBR056C-B 2 2
MUM2 11 74
UBP14 8 27
TSC3 0 0
AKL1 15 153
ORC2 4 27
TRM7 15 283
YBR062C 12 144
YBR063C 7 20
YBR064W 2 1
ECM2 8 56
NRG2 15 48
TIP1 4 7
BAP2 15 147
TAT1 16 330
ALG14 2 2
YBR071W 9 28
HSP26 4 9
YBR072C-A 4 30
RDH54 13 83
PFF1 27 461
ECM8 10 232
YBR076C-A 6 54
SLM4 1 0
ECM33 8 70
RPG1 16 40
SEC18 3 4
SPT7 24 110
UBC4 4 11
TEC1 10 154
MIS1 19 312
RPL19A 2 1
AAC3 7 252
YBR085C-A 1 0
IST2 16 263
RFC5 0 0
POL30 4 4
YBR089W 4 4
NHP6B 15 138
YBR090C 28 246
TIM12 1 0
PHO3 6 111
PHO5 9 46
PBY1 21 153
RXT2 4 28
YBR096W 6 199
VPS15 10 76
MMS4 8 122
YBR099C 3 72
FES1 8 36
EXO84 10 80
SIF2 5 4
YBR103C-A 6 58
YMC2 7 83
VID24 11 60
PHO88 3 3
IML3 0 0
AIM3 11 20
CMD1 0 0
YBR109W-A 3 12
ALG1 1 0
YSA1 10 26
SUS1 1 0
CYC8 8 14
YBR113W 8 34
RAD16 21 311
LYS2 25 206
YBR116C 14 81
TKL2 20 156
TEF2 5 4
MUD1 8 73
CBP6 3 3
GRS1 0 0
YBR121C-A 0 0
MRPL36 3 13
TFC1 3 5
YBR124W 7 60
PTC4 11 36
TPS1 7 24
YBR126W-A 3 9
YBR126W-B 4 18
VMA2 3 12
ATG14 9 83
OPY1 3 4
SHE3 4 22
CCZ1 9 40
YBR131C-A 1 0
AGP2 6 49
HSL7 16 177
YBR134W 26 315
CKS1 1 0
MEC1 16 110
YBR137W 7 19
YBR138C 10 60
YBR139W 7 47
IRA1 27 157
BMT2 8 65
YBR141W-A 0 0
MAK5 10 20
SUP45 1 0
YBR144C 13 333
ADH5 8 98
MRPS9 6 47
RTC2 14 411
YSW1 16 326
ARA1 18 216
TBS1 17 114
APD1 5 33
SPP381 10 43
RIB7 0 0
RPB5 1 0
CNS1 2 1
SLI15 4 16
ICS2 5 11
AMN1 23 555
IFA38 4 4
CDC28 1 0
CSH1 4 10
TOS1 14 256
YSY6 0 0
EXO5 16 265
ARL1 3 2
UBS1 4 6
TYR1 3 5
POP7 3 2
PEX32 1 0
SSE2 14 110
NPL4 2 3
SEC66 4 19
SMY2 3 2
UMP1 0 0
YBR174C 7 86
SWD3 8 85
ECM31 7 68
EHT1 15 57
YBR178W 19 217
FZO1 11 95
DTR1 9 53
RPS6B 0 0
SMP1 6 48
YBR182C-A 0 0
YPC1 5 78
YBR184W 10 80
MBA1 5 57
PCH2 22 260
