gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 11 119
YAL068W-A 9 108
PAU8 0 0
YAL067W-A 1 0
SEO1 15 239
YAL066W 3 14
YAL065C 3 3
YAL064W-B 1 0
TDA8 6 98
YAL064W 5 51
YAL063C-A 0 0
FLO9 24 617
GDH3 58 1343
BDH2 53 1641
BDH1 24 293
YAL059C-A 5 15
ECM1 5 16
CNE1 33 665
YAL056C-A 8 201
GPB2 49 1229
PEX22 10 200
ACS1 27 657
FLC2 18 173
OAF1 37 546
AIM2 14 178
GEM1 23 377
YAL047W-A 13 208
SPC72 5 37
AIM1 3 12
YAL045C 3 4
YAL044W-A 5 51
GCV3 2 2
PTA1 7 40
YAL042C-A 9 138
ERV46 22 384
CDC24 4 13
CLN3 13 121
CYC3 63 678
CDC19 3 10
YAL037C-B 2 4
YAL037C-A 1 0
YAL037W 10 58
RBG1 13 143
FUN12 5 20
YAL034C-B 15 429
MTW1 6 28
FUN19 25 525
POP5 0 0
PRP45 12 127
YAL031W-A 3 2
GIP4 22 137
SNC1 13 134
MYO4 28 563
FRT2 22 316
SAW1 14 240
YAL026C-A 10 24
DRS2 14 64
MAK16 0 0
LTE1 15 22
PMT2 13 68
FUN26 28 690
CCR4 9 81
ATS1 31 361
YAL019W-A 39 633
FUN30 23 455
LDS1 16 316
PSK1 38 388
YAL016C-B 4 5
YAL016C-A 9 94
TPD3 4 24
NTG1 26 263
SYN8 15 427
DEP1 16 107
CYS3 5 12
SWC3 21 87
MDM10 2 7
SPO7 1 0
FUN14 6 70
ERP2 11 347
SSA1 28 346
YAL004W 11 119
EFB1 0 0
VPS8 140 5262
TFC3 15 150
NUP60 38 359
ERP1 35 709
SWD1 20 145
RFA1 1 0
SEN34 5 14
BUD14 29 193
ADE1 9 63
KIN3 15 184
CDC15 6 16
YAR019W-A 28 477
PAU7 3 12
YAR023C 12 127
UIP3 10 180
YAR028W 13 444
YAR029W 2 5
YAR030C 2 2
PRM9 8 119
MST28 21 412
YAT1 102 1522
YAR035C-A 4 18
SWH1 43 438
YAR047C 0 0
FLO1 43 813
YAR053W 0 0
YAR060C 2 1
YAR064W 8 29
YAR066W 1 0
YAR068W 2 1
YAR069C 1 0
YAR070C 4 5
PHO11 0 0
IMD1 5 15
YAR075W 1 0
YBL113C 7 15
YBL113W-A 1 0
YBL112C 0 0
YBL111C 7 6
YBL109W 11 161
PAU9 0 0
YBL108W 12 223
YBL107W-A 0 0
MIX23 9 42
SRO77 23 291
PKC1 12 37
SEA4 35 626
RTG3 6 61
SFT2 5 37
ECM21 28 363
YBL100W-C 5 16
YBL100C 0 0
ATP1 4 4
BNA4 14 284
BRN1 7 52
YBL096C 8 36
YBL095W 5 8
YBL094C 0 0
ROX3 1 0
RPL32 1 0
SCS22 11 427
MAP2 9 47
MRP21 6 36
AVT5 9 52
TEL1 56 754
RPL23A 1 0
YBL086C 10 34
BOI1 13 63
CDC27 6 10
YBL083C 2 1
ALG3 10 71
YBL081W 5 30
PET112 12 127
NUP170 16 89
ATG8 1 0
YBL077W 8 175
ILS1 2 3
SSA3 22 276
AAR2 9 65
YBL073W 13 254
RPS8A 2 2
YBL071C-B 0 0
KTI11 2 1
YBL071C 3 2
YBL070C 1 0
AST1 30 167
YBL068W-A 5 7
PRS4 6 121
UBP13 9 85
SEF1 22 162
YBL065W 4 26
PRX1 9 38
KIP1 28 636
YBL062W 6 55
SKT5 17 240
YEL1 16 125
CMC2 1 0
YBL059W 4 28
SHP1 5 23
PTH2 3 46
PTC3 6 10
YBL055C 20 216
TOD6 15 206
YBL053W 5 111
SAS3 24 582
PIN4 19 262
SEC17 2 1
MOH1 1 0
RRT1 2 1
EDE1 29 612
PSY4 13 335
COR1 13 241
YBL044W 21 421
ECM13 8 95
FUI1 13 94
PRE7 2 6
ERD2 4 21
YBL039W-B 0 0
URA7 8 24
YBL039C-A 0 0
MRPL16 18 266
APL3 23 346
YBL036C 6 82
POL12 6 19
STU1 7 46
RIB1 2 3
HEK2 14 63
SHE1 11 79
PET9 0 0
YBL029C-A 9 110
YBL029W 37 983
YBL028C 3 4
RPL19B 1 0
LSM2 1 0
RRN10 0 0
NCL1 15 112
MCM2 7 31
PIM1 18 175
HAP3 1 0
RFT1 5 13
APN2 25 366
POP8 5 22
PEP1 55 1490
FUS3 20 109
ACH1 21 279
RRN6 23 226
FMT1 107 2496
YBL012C 8 26
SCT1 26 247
YBL010C 9 45
ALK2 31 398
YBL008W-A 11 69
HIR1 25 312
SLA1 28 262
LDB7 6 19
YBL006W-A 3 12
PDR3 63 1651
UTP20 7 12
HTA2 12 82
HTB2 29 385
ECM15 28 475
NTH2 88 1901
RER2 14 278
COQ1 27 464
GPI18 4 4
RCR1 32 909
UGA2 72 2470
DSF2 37 474
FLR1 46 538
HHF1 1 0
HHT1 3 3
IPP1 0 0
YBR012C 0 0
YBR013C 1 0
GRX7 5 27
MNN2 37 978
YBR016W 9 91
KAP104 7 29
GAL7 25 185
GAL10 84 1505
GAL1 28 212
FUR4 16 166
POA1 24 248
CHS3 20 328
SCO2 11 93
OLA1 8 23
ETR1 1 0
YBR027C 12 315
YPK3 5 18
CDS1 1 0
RKM3 10 31
RPL4A 1 0
YBR032W 18 350
EDS1 37 893
HMT1 16 193
PDX3 5 10
CSG2 5 6
SCO1 13 157
CHS2 6 40
ATP3 7 11
FIG1 2 1
FAT1 0 0
CST26 6 129
QDR3 16 222
TCM62 17 91
GIP1 14 62
ZTA1 7 24
FMP23 10 80
RPS11B 0 0
REB1 7 48
REG2 14 66
YBR051W 8 23
RFS1 8 32
YBR053C 8 47
YRO2 10 104
PRP6 10 36
YBR056W 7 38
YBR056W-A 1 0
YBR056C-B 1 0
MUM2 14 190
UBP14 7 29
TSC3 0 0
AKL1 13 138
ORC2 2 10
TRM7 13 88
YBR062C 2 3
YBR063C 3 9
YBR064W 2 1
ECM2 10 53
