gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 55 903
YAL068W-A 22 344
PAU8 12 169
YAL067W-A 10 60
SEO1 102 1064
YAL066W 40 528
YAL065C 23 138
YAL064W-B 21 152
TDA8 30 236
YAL064W 21 238
YAL063C-A 28 165
FLO9 129 1643
GDH3 285 5409
BDH2 230 4966
BDH1 138 1951
YAL059C-A 29 256
ECM1 41 438
CNE1 147 2976
YAL056C-A 36 579
GPB2 78 592
PEX22 40 445
ACS1 230 2813
FLC2 74 685
OAF1 168 2026
AIM2 50 418
GEM1 109 960
YAL047W-A 31 457
SPC72 28 347
AIM1 32 473
YAL045C 41 367
YAL044W-A 45 329
GCV3 55 583
PTA1 56 647
YAL042C-A 36 581
ERV46 69 932
CDC24 17 193
CLN3 47 948
CYC3 200 2925
CDC19 17 139
YAL037C-B 12 120
YAL037C-A 17 377
YAL037W 64 576
RBG1 83 1123
FUN12 35 227
YAL034C-B 56 1220
MTW1 34 270
FUN19 123 1558
POP5 4 4
PRP45 61 738
YAL031W-A 19 252
GIP4 110 1457
SNC1 46 628
MYO4 262 3751
FRT2 93 1200
SAW1 73 720
YAL026C-A 33 280
DRS2 192 2042
MAK16 4 6
LTE1 63 442
PMT2 59 601
FUN26 141 1885
CCR4 111 1093
ATS1 112 2504
YAL019W-A 110 2857
FUN30 218 2807
LDS1 58 547
PSK1 231 2903
YAL016C-B 30 169
YAL016C-A 25 738
TPD3 8 20
NTG1 124 1743
SYN8 80 1634
DEP1 40 133
CYS3 74 784
SWC3 150 1985
MDM10 41 300
SPO7 17 123
FUN14 79 859
ERP2 67 933
SSA1 209 3628
YAL004W 23 195
EFB1 6 44
VPS8 172 4736
TFC3 41 588
NUP60 89 1052
ERP1 96 1213
SWD1 44 346
RFA1 6 29
SEN34 10 87
BUD14 204 2524
ADE1 12 71
KIN3 104 1070
CDC15 39 265
YAR019W-A 79 1915
PAU7 15 120
YAR023C 65 828
UIP3 93 1578
YAR028W 81 1230
YAR029W 12 47
YAR030C 15 50
PRM9 67 895
MST28 67 854
YAT1 537 12777
YAR035C-A 35 217
SWH1 190 2216
YAR047C 0 0
FLO1 136 1658
YAR053W 5 8
YAR060C 0 0
YAR064W 23 189
YAR066W 1 0
YAR068W 3 6
YAR069C 0 0
YAR070C 6 11
